English,Hindi,Santali
"We even celebrate peoples partnership in this, sometimes its hard to believe.",हम इसम लग क भगदर क भ उतसव मनत ह कभकभ यकन करन मशकल हत ह,ᱟᱵᱚ ᱱᱚᱣᱟ ᱨᱮ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱥᱮᱞᱮᱫ ᱦᱚᱸ ᱵᱚ ᱢᱟᱱᱟᱣᱟ ᱚᱠᱟ ᱚᱠᱟ ᱫᱚ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱫᱚ ᱟᱸᱴ ᱜᱮᱭᱟ
"And the Gwina G from a hundred parts of the Philippines, and the terrible 911 killed the world in terrorism.",और सभगय स वनव ज क भ जनम दन और दसर तरफ व भयनक 911 जसन सहर कय वनश कय दनय क आतकवद म झक दय,ᱟᱨ ᱱᱟᱯᱟᱭ ᱛᱮ ᱵᱤᱱᱳᱵᱷᱟ ᱡᱤᱭᱟᱜ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱦᱚᱸ ᱟᱨ ᱮᱴᱟᱜ ᱥᱮᱫ ᱚᱱᱟ ᱵᱚᱛᱚᱨᱟᱱ ᱙᱑᱑ ᱡᱟᱸᱦᱟ ᱫᱚ ᱜᱚᱡ ᱠᱟᱛᱮ ᱫᱷᱟᱥᱟᱣ ᱠᱟᱛᱮ ᱡᱮᱜᱮᱫ ᱫᱚ ᱞᱚᱞᱚ ᱦᱟᱛᱟᱝ ᱨᱮᱠᱚ ᱵᱷᱮᱡᱟ ᱠᱮᱫᱼᱟ
Stop my auto payment for the next month.,अगल महन क लए ज सदसयत क मर सवत भगतन बद कर,ᱦᱤᱡᱩᱜ ᱠᱟᱱ ᱪᱟᱸᱫᱚ ᱞᱟᱹᱜᱤᱫ ᱡᱤ ᱨᱟᱹᱥᱤᱭᱟᱹᱣᱟᱜ ᱤᱧᱟᱹᱜ ᱚᱴᱳ ᱯᱮᱢᱮᱱᱴ ᱵᱚᱱᱫᱚᱭ ᱢᱮ
These hardworking workers were never seen.,इन असगठत मजदर क तरफ कभ दख नह जत थ,ᱱᱩᱠᱩ ᱵᱮ ᱡᱩᱢᱤᱫ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱥᱮᱫ ᱛᱤᱥ ᱦᱚᱸ ᱵᱟᱠᱚ ᱧᱮᱞ ᱟᱠᱟᱫᱟ
From where do the wood cut?,जलवन क लकड कह स कटत ह?,ᱵᱟᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱴᱷ ᱚᱠᱟ ᱠᱷᱚᱱ ᱠᱚ ᱜᱮᱫᱼᱟ ?
"After all, the flowers are removed.",सर सगध शषत कर लन क बद फल क नकल कर फक दय जत ह,ᱥᱟᱱᱟᱢ ᱥᱚ ᱥᱚ ᱦᱟᱛᱟᱣ ᱛᱟᱭᱚᱢ ᱵᱟᱦᱟ ᱠᱚ ᱚᱰᱚᱠ ᱠᱟᱛᱮ ᱠᱚ ᱜᱤᱰᱤ ᱠᱟᱜᱼᱟ
I like to do rock out with my shoe,मझ अपन जररब क सथ रक आउट करन पसद ह,ᱤᱧ ᱤᱧᱟᱹᱜ ᱡᱷᱩᱲᱤ ᱥᱟᱞᱟᱜ ᱨᱚᱠ ᱟᱣᱩᱴ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ
"All right, but please God.",ठक ह! लकन कपय ईशवर.. मझ बतन क लए कस उनह छडन स रकन क लए!,"ᱴᱷᱤᱠ ᱜᱮᱭᱟ ! ᱢᱮᱱᱠᱷᱟᱱ ᱫᱟᱭᱟᱠᱟᱛᱮ ᱵᱚᱸᱜᱟ, ᱤᱧ ᱞᱟᱹᱭᱟᱹᱧ ᱢᱮ ᱪᱮᱫ ᱞᱮᱠᱟ ᱩᱱᱠᱩ ᱵᱟᱹᱜᱤ ᱠᱷᱚᱱ ᱠᱚ ᱵᱟᱧᱪᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ !"
There are plans to deal with climate change in the Middle Ages.,मधयपरदश क शहडल जल म जलवय परवरतन स नपटन क लए यजनए बनई ज रह ह,ᱢᱚᱫᱫᱷᱚᱯᱨᱚᱫᱮᱥ ᱨᱮᱭᱟᱜ ᱥᱟᱦᱫᱳᱞ ᱦᱚᱱᱚᱛ ᱨᱮ ᱦᱚᱭᱦᱤᱥᱤᱫ ᱵᱚᱫᱚᱞ ᱥᱟᱢᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱯᱚᱱᱛᱷᱟ ᱵᱮᱱᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ
"Good examples, fine examples, truthfulness, and power are also very powerful, making a new way into times of distress.","जवन क कस भ पडव पर आप कय न ह, उततम उदहरण, सतय घटनए बहत बड पररण भ दत ह, बहत बड तकत भ दत ह और सकट क समय नय रसत भ बन दत ह","ᱡᱤᱭᱚᱱ ᱨᱮᱱᱟᱜ ᱡᱟᱦᱟᱸ ᱛᱷᱚᱠ ᱨᱮᱜᱮ ᱛᱟᱦᱮᱸᱱ, ᱱᱟᱯᱟᱭ ᱫᱟᱹᱭᱠᱟᱹ, ᱥᱟᱹᱨᱤ ᱜᱷᱚᱴᱚᱱ ᱠᱚ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱩᱫᱽᱜᱟᱹᱣ ᱦᱚᱸ ᱠᱚ ᱮᱢᱟ ᱠᱚᱣᱟ, ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱫᱟᱲᱮ ᱦᱚᱸ ᱠᱚ ᱮᱢᱟ ᱠᱚᱣᱟ ᱟᱨ ᱟᱱᱟᱴ ᱚᱠᱛᱚ ᱱᱟᱶᱟ ᱰᱟᱦᱟᱨ ᱦᱚᱸ ᱠᱚ ᱵᱮᱱᱟᱣᱟ"
Gadis traditional food content is especially used of herbs and herbs.,गड लग क परपरक खदय समगर म वशष रप स जडबटय और मसल क उपयग हत ह,ᱜᱳᱱᱰᱤ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱡᱚᱢᱟᱜ ᱨᱮ ᱵᱤᱥᱮᱥ ᱠᱟᱭᱛᱮ ᱨᱟᱱ ᱢᱩᱨᱜᱟᱹᱱ ᱟᱨ ᱢᱚᱥᱞᱟ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ
"We can learn a lot from the Angolish Gardens in Cannacas Bengol, where there is a passion for nature, and for the environment.","करनटक क बगलर म रहन वल सरश कमर ज स भ हम बहत कछ सख सकत ह, उनम, परकत और परयवरण क रकष क लए गजब क जनन ह","ᱠᱚᱨᱱᱟᱴᱚᱠ ᱨᱮᱱᱟᱜ ᱵᱮᱝᱜᱟᱞᱩᱨᱩ ᱨᱮ ᱛᱟᱦᱮᱱ ᱥᱩᱨᱮᱥ ᱠᱩᱢᱟᱨ ᱜᱚᱢᱠᱮ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱦᱚᱸ ᱟᱵᱚ ᱟᱭᱢᱟ ᱵᱚ ᱪᱮᱫ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ, ᱩᱱᱤ ᱴᱷᱮᱱ, ᱥᱤᱨᱡᱚᱱ ᱟᱨ ᱞᱟᱭᱚᱝ ᱨᱩᱠᱷᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱡᱩᱞᱩᱝ ᱢᱮᱱᱟᱜᱼᱟ"
People in the village allow children to play water while cleaning the river.,गव म लग नहर क सफई करत समय बचच क भ पन म खलन दत ह,ᱟᱹᱛᱩ ᱨᱮᱱ ᱦᱚᱲ ᱠᱚ ᱠᱷᱟᱞ ᱥᱟᱯᱷᱟ ᱚᱠᱛᱚ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱦᱚᱸ ᱫᱟᱜ ᱨᱮ ᱠᱷᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱮᱢᱟ ᱠᱚᱣᱟ
Thats what led people to stick to TV screen.,इस क चलत लग टव सकरन स चपक रह,ᱚᱱᱟᱛᱮᱜᱮ ᱦᱚᱲ ᱠᱚ ᱴᱤᱵᱤ ᱥᱠᱤᱱ ᱨᱮ ᱞᱟᱴᱷᱟ ᱛᱟᱦᱮᱸ ᱮᱱᱟᱠᱚ
Its normal sweet.,आम मठ हत ह,ᱩᱞ ᱫᱚ ᱦᱮᱲᱮᱢ ᱜᱮᱭᱟ
"Because of the climates uncertainty, farmers have to make changes in their farming plans.",मसम क अनशचततओ क करण कसन क अपन खत क यजन म बदलव करन पडत ह,ᱦᱚᱭᱼᱦᱤᱥᱤᱫ ᱨᱮᱭᱟᱜ ᱵᱟᱝ ᱴᱷᱟᱹᱣᱠᱟᱹ ᱠᱷᱟᱹᱛᱤᱨ ᱪᱟᱹᱥᱤ ᱠᱚ ᱟᱠᱚᱣᱟᱜ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱠᱚᱞᱯᱚᱱᱟ ᱵᱚᱫᱚᱞ ᱦᱩᱭᱩᱜ ᱛᱟᱠᱚᱣᱟ
He was the first president to visit Israel.,वह इजरयल क दर करन वल पहल भरतय रषटरपत थ,ᱩᱱᱤ ᱫᱚ ᱯᱳᱭᱞᱳ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱫᱤᱥᱚᱢ ᱜᱚᱢᱠᱮ ᱡᱟᱦᱟᱸᱭ ᱤᱥᱨᱟᱭᱮᱞ ᱥᱟᱸᱜᱷᱟᱨ ᱞᱮᱫᱟᱭ
A traditional form of worship is followed by Mount Sinai and the nearby temple.,भपल म सथत कचनर परवत और पस क मदर म परपरक पज वध क पलन कय जत ह,ᱵᱷᱳᱯᱟᱞ ᱨᱮ ᱢᱮᱱᱟᱜ ᱠᱟᱪᱱᱟᱨ ᱵᱩᱨᱩ ᱟᱨ ᱥᱩᱨᱥᱩᱯᱩᱨ ᱢᱚᱱᱫᱤᱨ ᱨᱮ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱵᱚᱸᱜᱟ ᱟᱹᱨᱤ ᱠᱚ ᱯᱟᱞᱟᱣᱟ
Thatll create the lowest latherer from the ground below.,ज उततम स उततम lawyer तयर करग,ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱥᱚᱨᱮᱥ ᱞᱟᱹᱞᱤᱥᱤᱭᱟᱹ ᱮ ᱵᱮᱱᱟᱣᱼᱟ
"Wherever the sun rose, he was welcomed through the sum.","जह भ सरय उदय हआ, वह यग क मधयम स उसक सवगत हआ","ᱡᱟᱦᱟᱸ ᱴᱷᱟᱶ ᱨᱮ ᱜᱮ ᱪᱟᱸᱫᱳ ᱮ ᱡᱟᱱᱟᱢ ᱞᱮᱱᱟ, ᱚᱱᱟ ᱴᱷᱟᱶ ᱨᱮ ᱜᱮ ᱡᱳᱜ ᱛᱟᱞᱟᱛᱮ ᱩᱱᱤ ᱠᱚ ᱵᱟᱛᱟᱶ ᱞᱮᱫᱮᱭᱟ"
Farmers fill the ground with moisture to sow peanuts in the field.,खत म मगफल बन क लए कसन मटट क नम स भरत ह,ᱪᱟᱹᱥᱤ ᱠᱚ ᱵᱟᱹᱫ ᱨᱮ ᱪᱤᱱᱟᱵᱟᱫᱟᱢ ᱨᱚᱦᱚᱭ ᱞᱟᱹᱜᱤᱫ ᱦᱟᱥᱟ ᱨᱮ ᱞᱚᱦᱚᱫ ᱠᱚ ᱯᱮᱨᱮᱡᱟ
Im lost in the forest of relationships.,म रशत क जगल म ख गय ह,ᱤᱧ ᱥᱟᱹᱜᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱵᱤᱨ ᱨᱮᱧ ᱟᱫ ᱟᱠᱟᱱᱟ
"When we arrived in Mumbai, we found ourselves in Mumbai, the capital city of the United States.",सजय जश तय करयकरम क मतबक मबई आए,ᱥᱚᱧᱡᱚᱭ ᱡᱳᱥᱤ ᱴᱷᱟᱹᱣᱠᱟᱹ ᱟᱠᱟᱱ ᱚᱠᱛᱚ ᱞᱮᱠᱟᱛᱮ ᱢᱩᱸᱵᱟᱹᱭ ᱮ ᱦᱮᱡ ᱮᱱᱟᱭ
The farmers plant seed when they harvest Bhuh in the fields.,कसन खत म गह क फसल बत समय बज उपचर करत ह,ᱪᱟᱹᱥᱤ ᱠᱚ ᱵᱟᱹᱫᱽ ᱨᱮ ᱜᱩᱦᱩᱢ ᱪᱟᱥ ᱨᱚᱦᱚᱭ ᱚᱠᱛᱚ ᱤᱛᱟᱹ ᱨᱮᱭᱟᱜ ᱛᱤᱠᱤᱪᱪᱷᱟ ᱠᱚ ᱠᱚᱨᱟᱣᱟ
Regular cleaning and maintenance of tractor and agricultural equipment enables them to grow up and work quickly and easier.,टरकटर और कष उपकरण क नयमत सफई और रखरखव करन स उनक उमर बढत ह और कम जलद और आसन ह जत ह,ᱴᱨᱟᱠᱴᱚᱨ ᱟᱨ ᱪᱟᱥ ᱥᱟᱯᱟᱵ ᱠᱚ ᱫᱤᱱᱟᱹᱢ ᱥᱟᱯᱷᱟ ᱟᱨ ᱧᱮᱞ ᱥᱟᱢᱴᱟᱣ ᱞᱮᱠᱷᱟᱱ ᱩᱱᱠᱩᱣᱟᱜ ᱩᱢᱮᱨ ᱵᱟᱹᱲᱛᱤᱜᱼᱟ ᱟᱨ ᱠᱟᱹᱢᱤ ᱞᱚᱜᱚᱱ ᱟᱨ ᱟᱞᱜᱟ ᱦᱩᱭᱩᱜᱼᱟ
Every man who dances is called Syracuse.,सल नचन वल हर आदम सलहर कहलत ह,ᱡᱟᱦᱟᱭ ᱦᱚᱲ ᱥᱟᱭᱞᱟ ᱠᱚ ᱮᱱᱮᱡᱼᱟ ᱩᱱᱤ ᱫᱚ ᱥᱟᱭᱞᱦᱟᱨ ᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ
"If we dont find new discoveries, a pause will come if we dont create the best product.","यद हम नवन खज नह करत ह, यद हम उतकषट उतपद तयर नह करत ह त एक ठहरव आ जएग","ᱡᱩᱫᱤ ᱟᱵᱚ ᱱᱟᱣᱟ ᱩᱫᱽᱜᱟᱹᱣ ᱵᱟᱝ ᱵᱚᱱ ᱠᱚᱨᱟᱣᱟ, ᱡᱩᱫᱤ ᱟᱵᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱫᱩᱨᱤᱵᱽ ᱵᱟᱝ ᱵᱚᱱ ᱵᱮᱱᱟᱣᱟ, ᱮᱱᱠᱷᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱛᱷᱤᱨ ᱦᱤᱡᱩᱜᱼᱟ"
The prime showed the image of Dr. MGR Jans College of Arts and Science for Science.,परधनमतर न वडय लक क जरए चननई सथत ड. एमजआर जनक कलज ऑफ आरटस एड सइस फर वमन म ड. एमज रमचदरन क परतम क अनवरण कय,ᱢᱟᱨᱟᱝ ᱢᱚᱱᱛᱨᱤ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱤᱰᱤᱣ ᱞᱤᱱᱠ ᱛᱟᱞᱟᱛᱮ ᱪᱮᱱᱱᱟᱭ ᱨᱮᱭᱟᱜ ᱰᱚᱠᱟᱨ ᱮᱢᱡᱤ ᱟᱨ ᱡᱮᱱᱠᱤ ᱠᱚᱞᱮᱡᱽ ᱚᱯᱷ ᱟᱨᱴᱥ ᱟᱨ ᱥᱟᱭᱮᱱᱥ ᱯᱷᱳᱨ ᱳᱵᱷᱤᱱ ᱨᱮ ᱰᱚᱠᱴᱟᱨ ᱮᱢᱡᱤ ᱨᱟᱢᱪᱩᱱᱫᱚᱨᱚᱱ ᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱱᱛᱤ ᱠᱚ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨ ᱞᱮᱫᱟ
"When farmers get a suitable price for their harvest, their faces are impressed with smiles, and families create a climate of prosperity, with the rapid growth of the village.","जब मडय म कसन क उपज क उचत मलय मलत ह, त उनक चहर पर मसकन दखई दत ह और परवर म समदध क महल बनत ह, जसस गव क वकस भ तज स हत ह","ᱛᱤᱱ ᱡᱚᱦᱚᱜ ᱢᱟᱱᱰᱤ ᱨᱮ ᱪᱟᱹᱥᱤ ᱠᱚ ᱟᱠᱚᱣᱟᱜ ᱟᱨᱡᱟᱣ ᱨᱮᱱᱟᱜ ᱱᱟᱯᱟᱭ ᱫᱟᱢ ᱠᱚ ᱧᱟᱢᱟ, ᱩᱱ ᱡᱚᱦᱚᱜ ᱩᱱᱠᱩᱣᱟᱜ ᱢᱮᱫᱦᱟᱸ ᱨᱮ ᱞᱟᱸᱫᱟ ᱧᱮᱞᱚᱜᱼᱟ ᱟᱨ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱮ ᱥᱩᱠᱷᱟᱹᱞᱤ ᱨᱮᱱᱟᱜ ᱯᱚᱨᱤᱵᱮᱥ ᱵᱮᱱᱟᱣᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱛᱮ ᱟᱹᱛᱩ ᱨᱮᱱᱟᱜ ᱩᱛᱱᱟᱹᱣ ᱦᱚᱸ ᱩᱥᱟᱹᱨᱟ ᱦᱩᱭᱩᱜᱼᱟ"
Krechi can be done too.,करक भ क ज सकत ह,ᱡᱚᱵᱚᱫ ᱦᱚᱸ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱟ
Whether something is going on around,कय आसपस कछ खस चल रह ह,ᱥᱩᱨᱥᱩᱯᱩᱨ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱵᱤᱥᱮᱥ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ ?
"In the desert ground the morgue, the Neem and many other kinds of plants that can be produced more than can be produced.","बजर जमन म महआ , नम और इस परकर क अनक पध क लगन हग , जसस अधक स अधक उतपदन कय ज सक","ᱵᱟᱹᱲᱤᱡ ᱦᱟᱥᱟ ᱨᱮ ᱢᱚᱦᱩᱣᱟ, ᱱᱤᱢ ᱟᱨ ᱱᱚᱝᱠᱟᱱ ᱟᱭᱢᱟ ᱫᱟᱨᱮ ᱨᱚᱦᱚᱭ ᱦᱩᱭᱩᱜ ᱛᱟᱠᱚᱣᱟ, ᱡᱟᱦᱟᱸ ᱛᱮ ᱰᱷᱮᱨ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱟᱨᱡᱟᱣ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ"
Stop rice kharters socket,चवल ककर क सकट बद कर,ᱪᱟᱣᱞᱮ ᱠᱩᱠᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱚᱠᱮᱴ ᱵᱚᱱᱫᱚᱭ ᱢᱮ
Do you know a good time Im looking for.,म एक बर क तलश म ह कय आप एक अचछ बर क जनत ह,ᱤᱧ ᱢᱤᱫᱴᱟᱝ ᱵᱟᱨ ᱤᱧ ᱯᱟᱸᱡᱟᱭ ᱮᱫᱟ ᱪᱮᱫ ᱟᱢ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱵᱟᱨ ᱮᱢ ᱵᱟᱰᱟᱭᱟ
"In LAD, religious observances are usually held in Ledh, people speak grace and wear a shirtpad.","लददख म धरमक आयजन क आयजन परपरक ढग स कय जत ह, लग पजब बलत ह और करतपयजम पहनत ह","ᱞᱟᱫᱟᱠᱷ ᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱟᱠᱷᱲᱟ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱯᱲᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ, ᱦᱚᱲ ᱠᱚ ᱯᱟᱧᱡᱟᱵᱤ ᱯᱟᱹᱨᱥᱤ ᱛᱮᱠᱚ ᱨᱚᱲᱟ ᱟᱨ ᱠᱩᱨᱛᱟᱼᱯᱟᱭᱟᱡᱟᱢᱟ ᱠᱚ ᱦᱚᱨᱚᱜᱟ"
