English,Hindi,Bhili
"In the opposite situation, Malik Tughlaq regularly raided the Mongol territories of Afghanistan.","विपरीत स्थिति में, मलिक तुगलक नियमित रूप से अफगानिस्तान के मंगोल क्षेत्रों पर हमला किया करते थे।",उल्टी दस्‍या मां मलिक तुगलक नियि‍मत रूप थी अफगानिस्तान ना मंगोल इलाका उपर हमलो करतेला।
"Giving her presentation, Ms. Azita Qureshi, Under Secretary, J & K spoke about the LG Grievance Cell of J & K.","न्यायाधीश ने उन्हें जमानत देते हुए कहा कि नागरिकों के पास शांतिपूर्ण विरोध का एक मौलिक अधिकार है, जिसे राज्य द्वारा रोका नहीं जा सकता है और पुलिस को उनके खिलाफ कोई भी सबूत साबित करने में विफल रहने के लिए फटकार लगाई.",तीनी प्रस्तुति आलती वखत जम्मू कश्मीर नी अवर सचिव सूश्री अजीता कुरेशी ही जम्मू कश्मीर नी एलजी शिकायत सेल ना बारा मां वताडयु ।
Fresh flowers yield 0.7-0.9% of the oil.,ताजे फूलों से तेल की 0.7 से 0.9 प्रतिशत प्राप्‍ति होती है।,ताजा फुलो थी तेल नी 0.7 थी  0.9 प्रतिशत मले से।
It carries a prize money of Rs 15 lakh.,इसे 15 लाख रुपये का पुरस्कार दिया गया है।,इन 15 लाख रुपया नू इलाम आल्यू ग्यू से।
He also visited the campus and evinced keen interest in the innovative spirit behind the project.,उन्होंने परिसर का दौरा भी किया और परियोजना के पीछे की अभिनव भावना में गहरी दिलचस्पी दिखाई।,इना यी परिसर नो दारो भी करीयो और परियोजना ना पिछडी अभिनव भावना मा गहरी दिली ईच्छा जाहिर करी।
Agriculture is the most important occupation contributing more than 70% of its economic growth.,कृषि इसके आर्थिक विकास में सर्वाधिक महत्वपूर्ण धंधा है जिसमें 70 प्रतिशत से अधिक योगदान है।,खेती अन रूपिया पइसा ना विकास मां सबथी वदु खास धंधा से तिनमा 70 टका थी वदु टेको से।
"In November 2007, Mary Kom of India won the title of Best Boxer and made a hat-trick of titles.","नवंबर 2007 में, भारत की मैरी कॉम ने सर्वश्रेष्ठ मुक्केबाज का खिताब जीता और खिताबों की एक हैट्रिक बनाई।",नवम्बर बे हजार हात  मा भारती नी मैरी काॅम यी सर्वश्रेष्ठ मुक्के बाज नो खिताब जीत्यो अन खिताबो नी हेट्रिक बणावी।
"I hope that the proper implementation of the articles of the Delhi Declaration will help in the systematic development of traditional medicines, including Ayurveda, at the national, regional and global levels.","मैं आशा करता हूं कि दिल्ली घोषणापत्र के अनुच्छेदों के विधिवत क्रियान्वयन से राष्ट्रीय, क्षेत्रीय एवं वैश्विक स्तर पर आयुर्वेद समेत पारम्परिक औषधियों के सुनियोजित विकास में मदद मिलेगी।","हु आशा करु से। कि दिल्ली घोषणापत्र ना अनुच्छेदों ने विधि नी अनुसार काम मां लेवा हारु राष्ट्रीय, क्षेत्रीय अने वैश्विक स्तर थी आयुर्वेद हमते पारम्परिक दवायों नो सही तरीका थी विकास मा मदद मिळहे।"
Open barley was traditionally a staple crop throughout Ladakh.,पूरे लद्दाख में खुले जौ की पारंपरिक रूप से एक मुख्य फसल थी।,पूरा लदाख मा खुल्‍ला जो नी पुराना रूप मा एक खास फसल से ।
"It is truly an unforgettable performance. """,यह वास्‍तव में अविस्‍मरणीय प्रदर्शन है।”,इ खरी वात नी भुुलाय एवो खेल से।
"He showed an emotional personality, being overjoyed.",उसने अत्यधिक आनंदित होकर भावुक व्यक्तित्व दिखाया।,तिनायी घणो मजो आली ने भावुक आदमी ने वताडयों।
"As of 2019, the state had the fifth-lowest जी.डी.पी among Indian states, though it is one of the fastest-growing.","2019 तक, भारतीय राज्यों के बीच राज्य का पांचवां सबसे कम जी.डी.पी. था, हालांकि यह सबसे तेज़ी से बढ़ रहे राज्यों में से एक है।",2019 तक ना भारतीय देह के वाच मा देह का पाचवा देह काम से जीडी पी था इने बडा ती बहू देह बढिरहीयो से
The tree gives shade to the passerby in the burning noon.,पेड़ जलती दोपहरी में राहगीर को छाया देता है।,रोहे जावा वळांन भारी तोप मा झाड़खांनी साहेला आवे से।
"""A large number of Taliban attacked the army post in which 18 of our soldiers were martyred and two are injured,"" spokesman Dawlat Waziri said.","प्रवक्‍ता दावलात वजिरी ने बताया,’बड़ी संख्‍या में तालिबानियों ने आर्मी की चौकी पर हमला किया जिसमें हमारे 18 जवान शहीद हो गए और दो घायल हैं।",बोलता वालो दावलात ने वताडिया मोटी गिनती मा तालिबानयों ने आर्मी नी चौकी पर हमलो करियो जीनमा आपडा 18 जुवान मरी गया ने अने बे जणा घायल से।
He further opened up all civil and military services to Hindus and appointed many of them to high positions in his Diwan Khanate.,इसके आगे उनहोनें नागरिक तथा सैनिक सभी राजकीय सेवाएं हिंदुओं के लिए खोल दी थी. तथा उनमे से अनेक को अपने दीवानखाने के ऊंचे पदो पद नियुक़्त किया था.,इना अगाड़ी तीहू यी मनखू अने सैनिक हगळी राज नी सेवा मा हिंदूओं हारू खोली दे देली। अने तीनमा थी घणा तीना ना घेर ना मोटा हाल नी बाहेरो बेहवा वाळा ना मोटा पद पर भर्ती करेला।
I'm on my way.,मैं अपने रास्ते में  हूँ ।,हुं मारी वाट मां से।
"Eight people died on the spot, while eight succumbed to their injuries at the district hospital.","आठ लोगों की मौके पर ही मौत हो चुकी थी, जबकि आठ लोगों ने जिला अस्पताल में दम तोड़ दिया।",आठ मनख मौका पर मरी गेला अन आठ  मनखु थी जिला अस्पताल (दवाखाना)मा दम तोड दे दो ।
They also have something to say.,उनको भी कुछ-न-कुछ बाते बतानी हैं।,इनाने बी कई ना कई वात्‍यों वताडियों से।
"Haridas, which was released during his incarceration, ran to packed theatres for three consecutive Diwali years.","हरिदास, जो उनके जेल में रहने के दौरान रिलीज़ हुई थी, लगातार तीन साल की दीपावली तक खचाखच भरे सिनेमा-घरों में चलती रही।",हरिदास जि तिना जेल मा रेहवा नि समय आवेली लगातार ताण वरहु नि दिवाली हुदी खशा खस भरेला सिनेमा घरो मा सालती री
"The webinar was attended by Smt. Debasree Chaudhuri, Union Minister of State for Women and Child Development, Government of India, Secretary, WCD, Shri Ram Mohan Mishra, representatives from partner Ministries and State Governments, representatives from international organizations and development partners, PRI members, ICDS functionaries, State WCD representatives, domain experts, nutritionists, Ministry officials and others.","इस वेबिनार में श्रीमती देबश्री चौधरी, केंद्रीय महिला एवं बाल विकास राज्य मंत्री, भारत सरकार, महिला एवं बाल विकास सचिव, श्री राम मोहन मिश्र, साझेदार मंत्रालयों और राज्य सरकारों के प्रतिनिधि, अंतर्राष्ट्रीय संगठनों और विकास भागीदारों के प्रतिनिधि, पीआरआई सदस्य, आईसीडीएस पदाधिकारी, राज्य महिला एवं बाल विकास प्रतिनिधि, डोमेन विशेषज्ञ, पोषण विशेषज्ञ, मंत्रालय के अधिकारी और अन्य लोग शामिल हुए।",इन वेबिनार मा श्रीमती देब श्री चौधरीएकेंन्द्रीय महिला एवं बाल विकास राज्य मंत्रीएभारत सरकारए महिला एवं बाल विकास सचिवए श्री राम मोहन मिश्रए हिस्सेदार मंत्रालयों अन राज्य सरकारो ना प्रतिनिधिएअंतर्राष्ट्रीय;पूरी दुनियाद्ध संगठनो अन विकास हिस्सेदारों पीसीआरआई सदस्य आईसीडीएस पद ना साबडा एराज्य महिला एवं बाल विकास प्रतिनिधिए डोमेन विशेषग्यएमंत्रालय ना साबडा अन बीजा लोग भेळा थया।
Keep doing your job.,अपने काम से काम रखो |,आपड़ा काम थी काम राखो ।
"The MoC will enhance cooperation in areas of mutual interest, including, inter alia, capacity building in the field of cyberspace, security of critical infrastructure, cooperation in emerging technologies, information sharing on cybersecurity threats / incidents and malicious cyber activities as well as best practices for countering them, development of joint mechanisms for practical cooperation in mitigating cyber threats for protection of Information Communication Technology (ICT) infrastructure, etc.","एमओसी आपसी हित के क्षेत्रों में सहयोग बढ़ाएगा, जिसमें अन्य बातों के साथ—साथ, साइबरस्पेस के क्षेत्र में क्षमता निर्माण, महत्वपूर्ण बुनियादी ढांचे की सुरक्षा, उभरती प्रौद्योगिकियों में सहयोग, साइबर सुरक्षा खतरों/घटनाओं और दुर्भावनापूर्ण साइबर गतिविधियों के बारे में जानकारी साझा करने के साथ-साथ उनका मुकाबला करने के लिए सर्वोत्तम अभ्यास, सूचना संचार प्रौद्योगिकी (आईसीटी) बुनियादी ढांचे आदि की सुरक्षा के लिए साइबर खतरों को कम करने के वास्ते व्यावहारिक सहयोग के लिए संयुक्त तंत्र का विकास करना शामिल है।",एमओसी आपस ना हित ना क्षेत्रों मां मदद बढावहे तनामा बिजी वात्योनी हाते हाते साइबरस्पेस ना क्षेत्र मां क्षमता निर्माण खास बुनियादी ढांचा नी सुरक्षा वदती प्रोद्योगिकीयों मां मदद साइबर सुरक्षा खतरों/घटनाओं अन दुर्भावनापूर्ण साईबर गतिविधियों ना बारा मां जानकारी साझा करवानी हाते-हाते तीनों मुकाबलों करवा हारू खास अभ्यास सूचना संचार प्रोद्योगिकी बुनियादी ढांचा आदि नी सुरक्षा हारू साइबर खतरा ना काम करवा हारूं व्यवहारिक सहयोग हारू संयुक्त तंत्र नो विकास करवो पडहे ।
"Georgia has about 25,000 rivers, many of which supply power to small hydroelectric plants.","जॉर्जिया में लगभग 25,000 नदियाँ हैं जिनमें से कई छोटे पनबिजली संयंत्रों को बिजली की आपूर्ति करती हैं।",जार्जिया मा लगभग 25000 नदियो मा तीना ती कई नाना ती नाना पन विजली तैवा संयत्रों की भूर्ती नथी से।
"Within two years, the Sikh caste class rebelled again and rebuilt their holy city of Amritsar.","दो साल के भीतर, सिख जाति वर्ग ने फिर से विद्रोह कर दिया और अपने पवित्र शहर अमृतसर का पुनर्निर्माण किया।",वे वररूु ना मेरे सिखड़ा जो फेर थी हुमलो कर दिदो अने आपड़ा पवितर सेहेर अमृतसर नो फेर तो बणाव बणायों।
"It is only 5 कि.मी. away from Konark in Puri district of Odisha, India.",यह भारत के ओडिशा के पुरी जिले में कोणार्क से केवल 5 कि.मी. दूर है।,यू भारत ना ओडिशा नी पुरी जिला नी कोणार्क थी खाली 5 कि.मी. सेटी से।
"Dutch-born model Wilhelmina Cooper holds the record for the most covers on American Vogue, appearing on it 27 or 28 times during the 1950s and 1960s.","डच मूल की मॉडल विल्हेल्मिना कूपर के पास अमेरिकन वोग पर सबसे अधिक आवरण पर आने का रिकॉर्ड है, जो 1950 और 1960 के दशक के दौरान 27 या 28 बार उस पर दिखाई दिया।","डच मूल नी मॉडल विल्हेल्मिना कूपर कने अमेरिकन वोग पर सबथी वदार आवरण पर  आवा नो रिकार्ड  से  , जो 1950 अने 1960 ना दशक दौरान 27 या 28  बार तीना दिखाई दे दी  ।"
Children of all ages play Lagori all over India.,पूरे भारत में सभी उम्र के बच्चे लगोरी खेलते हैं।,पूरा भारत मां बदी उमर ना सोरां लगोरी रमे से ।
Descemetoceles occur when the ulcer spreads to the stroma.,डेसिमेटोसेलेस तब होता है जब अल्सर स्ट्रोमा में फैलता है।,डेसिमेटोसेलेस जदी था है जदी अल्‍सर स्‍ट्रोमा में फेले से।
The boys are running.,लड़के दौड रहे हैं।,पुरिया दुड तेला
Women go to the market to sell wood or fruits to raise their children.,महिलायें अपने बच्‍चों को पालने-पोषने के लिए लकड़ी या फल बेचने के लिए बाजार जाती हैं।,बायरा आपना पुरियान पेट पालने लाकडा ने फल-फुल वेचने बाजार मा जाय छे ।
Ask them why they don't take a personal loan from the bank.,उनसे पूछें कि क्यों वे बैंक से व्यक्तिगत ऋण नहीं लेते।,"तिहुंनें पुछो की केम त्यां बैंक थी, मनखें करजो नीं ले से।"
This is the text of the Prime Minister's address on the occasion of'Griha Pravesh'of over 4.50 lakh beneficiaries of PMAY-G in Madhya Pradesh.,मध्य प्रदेश में PMAY-G के 4.5 लाख से अधिक लाभार्थियों के 'गृह प्रवेश' के अवसर पर प्रधानमंत्री के संबोधन का मूल पाठ है।,मध्यप्रदेश मा PMAY-G ना 4-5 लाख थी वदारे फायदा लेवा वाळा ने घेरना मुरत ना मौखा पर प्रधानमंत्री ना बोलवानो मूल पाठ से।
"Also, this was the first year that long form or numerical type questions were included in the exam.","इसके अलावा, यह पहला वर्ष था जब परीक्षा में लांग फॉर्म या न्‍यूमेरिकल टाइप के प्रश्न शामिल किए गए थे।",इना थी बीजु यु पेहलु वरे हनु जेर परीक्षा मा लाम्‍बा फारयु अने न्‍यूमेरिकल ना सवाल भेला करेला।
"This will make the sharing finances only one aspect of your relationship, rather than the entire basis of it.",यह बंटवारे के वित्त को उसके संपूर्ण आधार के बजाय आपके रिश्ते का केवल एक पहलू बना देगा।,आ वाटवाना लाणॉ मां तिनाने पूरा आधार नी बदले तमार रिश्‍ता मां खास एक पहल बणावी देजो।
The Central Board of Secondary Education (CBSE) is once again set to change the pattern of question papers.,सेन्ट्रल बोर्ड आॅफ सेकेण्डरी एजुकेशन (सीबीएसई) एक बार फिर प्रश्न पत्रों का पैटर्न बदलने की तैयारी में है।,सेंन्ट्रल बोर्ड ऑफ सेंकेण्डरी एजुकेशन (सीबीएसई) एक वार फेर पेपरों नो पैटर्न बदलवा नी तयारी मां से।
Our school has a garden.,हमारे विद्यालय में बगीचा है।,मारी इस्‍कुल मा बगीसो से ।
The MoU will pave the way for developing joint activity in the field of application of space technology for the benefit of humanity.,इस समझौता ज्ञापन मानवता के लाभ के लिए अंतरिक्ष प्रौद्योगिकी के ऐप्लिकेशन के क्षेत्र में संयुक्त गतिविधि विकसित करने के लिए मार्ग प्रशस्‍त करेगा।,इन समझौता ज्ञापन मानवता ना लाभ हारू अंतरिक्ष प्रौघोगिक ना ऐप्लिकेशन ना क्षेत्र मा संयुक्‍त गतिविधि विकसित करवा हारू मार्ग प्रशस्‍त करहे।
'One mould for all'was used for years.,‘सभी के लिए एक ही सांचे’ का इस्तेमाल वर्षों तक किया गया।,हगळा लीदे एक ही हंसा ना उपयोग बरहुं तक करियां करिया ।
Juniper oil is extracted from the steam distillation of ripe fruits.,पके फलों के भापीय आसवन से जूनिपर तेल निकाला जाता है।,पाकेला फलो ना भापीय आसवन थी जुनिपर तेल निकाली जाए है।
Ata talam refers to the group of talams that consist of 2 laghu followed by 2 dhrutams.,अत-ताल से तात्पर्य उन तालों के समूह से है जिनमें 2 लघु होते हैं और उसके बाद 2 धृतम होते हैं।,अधताल थी मतलब से तीना ताल न टोळां तीना बे मोटा था और इना पसे बे धरतम थाय से।
