English,Hindi,Gondi
I will be making a lot of friends in my childhood.,मैं अपने बचपन में बहुत दोस्त बना रहा होऊंगा।,नन्ना आपुना पीला बेरा ते कुबैय लगवार पण्डोर  मंदका होही।
Sportsmanship is important in sport.,खेल में खेल-भावना का महत्व है।,केल ते केल बावना तह मान मंता।
"Last year, on the occasion of Independence Day, the whole country came together for the'Har Ghar Tiranga Abhiyan '.","पिछले वर्ष स्वतंत्रता दिवस के अवसर पर ‘हर घर तिरंगा अभियान’ के लिए जैसे पूरा देश एक साथ आया था,",पेर्रेक हंदले बरसा स्वतंत्रता दिया ता मोका ते ‘‘हरधर तिरंगा अभियान‘‘ त बारा बदम सपथ देश उंद जुट आसमता ।
Religious conflict increased during partition.,विभाजन के दौरान धार्मिक संघर्ष बढ़ा,तूसाना त परेक दरम लड़ाय बर्सत।
The girls played on the river bank.,लड़कियाँ नदी किनारे खेलीं।,पेकिहक बेरेटा ओदा कर्रसतुंग
You used to learn from your experiences.,तुम अपने अनुभवों से सीखते थे।,निम्मा आपुना पुन्द ले नह कर्रियिन्द ।
"These creatures must be at the center of our faith,","ये जीव-जंतु हमारी आस्था के केंद्र में तो रहने ही चाहिए,",ईव जानवरिंग अन पि‌ट्टेंग मावा भावते तो मंदाना गला आंद।
His poems contain deep thoughts and emotions.,उनकी कविताओं में गहरे विचार और भावनाएँ हैं,अदंे नंग कतांग ते पकाय बिचर अन् लाक कियना आता।
Perth also has an art gallery named Sacred India Gallery.,पर्थ में 'सेक्रेड इंडिया गैलरी' नाम से एक आर्ट गैलरी भी है।,पर्थ ते उन्द सर्टेड भारत ग्लैरी इद पोर्रोय ता उन्द आर्ट ग्लैरी मंता।
Memories germinate like seeds in the soil of India.,भारत की मिट्टी में स्मृतियाँ बीज की तरह अंकुरित होती हैं।,भारत ता तोड़दे मंदलेंग सीना - बानंग विज्‍जा लेहका मोड़ियला आयतंग।
The doctor will give the patient a medicine.,डॉक्टर मरीज को दवा देगा।,डाक्टेर पर्र वोन मत हिययनुर
"In the villages of India, every tree has a story in its shade.",भारत के गाँवों में हर पेड़ की छाँव में कथा बसती है।,भारत तंग नाह्क ने हरेक मर्रा ताय ते पीटोंग बसे मातंग।
Pilu also ran away.,पीलू भी भागा।,पीलू गला वितितुर।
Many houses were destroyed in the torrential rain.,तूफ़ान से कई घर नष्ट हो गए,हुरेमाटियल ते कुबेय लोह्क सिर्री-बिर्री आतुंग
"Congress-NCP seat-sharing talks in Maharashtra end, BJP-Shiv Sena tour begins","महाराष्ट्र में कांग्रेस-एनसीपी के बीच सीटों का बंटवारा अटका, बीजेपी-शिवसेना के दौरे शुरू",महाराष्ट्र ते कांग्रेस - एनसीपी त नडूम सीटीन तुसना त रोम्त् बीजेपी-शिवसेना त वलियाना मूंड़
She was playing with toys.,वह खिलौनों से खेल रही थी।,अद कर्रसानांग बिडारिंग संग कर्रसोर मत्ता।
The voice of the youth of the country creating content has become very effective today,Content create कर रहे देश के युवाओं की आवाज आज बहुत प्रभावी बन चुकी है,Content Create केयालोर देश तो युवालोर ना लेंग न ेड कुबेय असरदार बने माता।
The rain monitoring system was cancelled due to water.,पानी के कारण वर्षा निगरानी प्रणाली रद्द हो गई थी।,एर्र दा मारे वतुर ता एर्र तुन हड़ाना त तरिका जुक्स मता।
It will help in controlling air pollution.,वायु प्रदूषण को नियंत्रित करने में मदद करेंगे,वेड़िय प्रदूषण तुन रोका-छेका कियाना ते मदेद कियर।
Education and literature have led to India's global recognition.,शिक्षा और साहित्य से भारत की पहचान वैश्विक हुई है।,पड़हे कियना अन साहित्‍य ते भारत ता पोरोय बूम मेटे आता।
Shastri Ji's life is etched in the heart of every Indian.,शास्त्री जी का जीवन हर भारतीय के दिल में बसा हुआ है,शास्त्री जी ना जिंल्गी बोर गला भारत तोर मानेय ता जीवा ते उद्स मंद।
The turtle always walked slowly.,कछुआ हमेशा धीरेण्धीरे चलता था।,हेमुल पुरकय तीरम-तीरम ताकन्द।
The copy contains information about the subjects.,कॉपी में विषयों की जानकारी मिलती है।,कापी ते विषय ता जानकारी पुटी आयता।
The law is intended to provide citizens with access to government information.,इस कानून का उद्देश्य नागरिकों को सरकारी सूचनाओं तक पहुँच प्रदान करना है,इद कानून ता विचार मानेय तुन सरकारी कबीर तुन एवीहला कियाला आन्द
Helicopters are also used in the Navy.,हेलिकॉप्टर जल सेना में भी काम आता है।,हेलिकॉप्‍टर एर्र सेना ते गला बूतो ते वायता।
Young children love to sit on the bike.,बाइक पर छोटे बच्चे बैठना पसंद करते हैं।,पट्पट्टी ते उचुहहंग पीलंग उदानह बिचर कियतंग।
She also played a key role in empowering women farmers.,उन्होंने महिला किसानों को सशक्त बनाने में भी महत्वपूर्ण भूमिका निभाई।,ओर लोर आस्क किसानलोर भी सहमति पण्‍डला जरूरी भूमिका कियाना ।
The globe is used in geography classes.,ग्लोब का उपयोग भूगोल की कक्षाओं में किया जाता है,ग्लोब तुन तोहना भूगोल ता कक्षाने तोहना आयता
The boat gives a sense of peace.,नाव शांति का अनुभव कराती है।,डोंगा सुमकले मंदना ता अहसास किय्हायता।
But no tobacco was served and it became a matter of condemnation.,लेकिन तंबाकू नहीं दिये और यह निंदा की बात हो गई।,मति दिगंया हेवोर आतुर अन इद वड़क्ना लेहकाडा पल्लो आत ।
"I am not the thing, but I connect all - tell me what I am?","मैं चीज़ नहीं, पर सबको जोड़ता हूँ — बताओ मैं क्या हूँ?","नना जिनिस आयोन, मति सपोयकुन जोड़े किययतोना- वेहहट नना बाता आन्‍दन?"
The marriage ceremony of the community consists of people living in the village of their own caste and others living in nearby villages.,समुदाय के विवाह समारोह में अपनी ही जाति के ग्राम में निवासरत तथा अन्य आस-पास के ग्रामों में निवासरत लोग सम्मिलित होते है,कुटुम ते मर्रमिंग न जलसा ते अपुना ही जाति ते नाटेने मन वालोर अन एरे-गुरे तंग नाह कने मनवालोर मानेय सामिल आयतोर
The construction of roads facilitates commuting in the rains.,सड़को के बनने से बारिश में आने-जाने में सुविधा होती है।,सड़ाकिंग बने माले तह पिर्र दे दायना वायना ते सुविधा आयता।
Today is going to host the North-East Sports University.,आज North-East Sports University की मेजबानी करने जा रहा है।,नेण्ड छवतजी.म्ंेज Sports न्दपअमतेपजल तह ख्ेाल कियाला चाहे मायला आता।
The rhinoceros used to rest in its territory.,गेंडा अपने इलाक़े में आराम करता था।,गेंडा अपुना कोलांज ते आराम कीन्द ।
Acid leakage can occur in the battery.,बैटरी में एसिड लीकेज हो सकता है।,बेटरिक ते एसिड एर्र बूका आया पर्रता।
Children were playing with colourful balloons.,बच्चे रंगीन गुब्बारों से खेल रहे थे।,पीलंग रंगीन पुग्‍गा नुंग कर्रसोर मंदुंग।
Proper care of the battery will allow it to age.,बैटरी की सही देखभाल से उसकी उम्र बढ़ती है।,बैटरिक ता सही देकबाल तह ताना उमेर बर्सायता।
Our own formula teaches us so we take it hand in hand.,हमारा ही formula हमें सिखाता है  तो हम उसे हाथों-हाथ ले लेते हैं,मावा गला इदे दलसा ते मांकुनकर्रीहयता अन माट अदे केय्यंक -कैय्य ते एतायतोरा।
Indian education includes both spirituality and practicals.,भारतीय शिक्षा में अध्यात्म और व्यवहार दोनों का समावेश होता है।,भारत ता पड़हे कियना ते आपुन तुन पड़हे कियना अन आदेत रण्‍डो ना मिंजरे मायना आयता।
"Today, many Indian women are doctors, engineers, and scientists","आज कई भारतीय महिलाएं डॉक्टर, इंजीनियर और वैज्ञानिक हैं",कुबैय भारतीय आस्कानुंग नेड डॉकेटर इंजीनियर अन वैज्ञानिक मन्तोर।
"We have to ensure that the infrastructure is comprehensive, integrated.","हमें ये सुनिश्चित करना होगा कि इंफ्रास्ट्रक्चर व्यापक हो, एकीकृत हो।",इदमना स्थिति आयमकी। इदमे माक पक्की किया लागर कि इंफ्रास्ट्रकचर भरपूर आयी।
The contribution of Dr. Radhakrishnan Ji is invaluable.,डॉ. राधाकृष्णन जी का योगदान अमूल्य है।,डॉ. राधाकृष्‍णन जी ना योगदान तुन एसपरवह किमोत मन्‍ता।
And the common man had only one thought in his mind.,और सामान्य मानवी के मन में एक ही ठान था कि,"अन साधारण मानेयत बिचार ते उन्दीय मन आन्द,"
It is necessary to cherish family values,पारिवारिक मूल्यों को संजोकर रखना आवश्यक है,पारिवारिक मूल्य नुंग सजेह किस इर्राना जरूवत आंद
Proper battery maintenance prolongs the life of the car.,बैटरी का सही रखरखाव गाड़ी की उम्र बढ़ाता है।,बिजली बंडार ता नेहना रेकडेक गाडा ता उमेर बर्सहयता।
The result was in front of everyone today.,उसका नतीजा आज सबके सामने था।,ओना पल नेड सप्पोजन ना मुन्ने मता।
India's cinema and music culture are globally renowned.,भारत की सिनेमा और संगीत संस्कृति वैश्विक रूप से प्रसिद्ध है।,भारत ता सिनिमा अन रूजुम रीति नीति बुम नामजागी मन्‍ता।
I started a lot of new lives in my retirement life.,मैंने अपने सेवानिवृत्ति जीवन में बहुत नए जीवन शुरू किए।,नन्ना अपुना सेवा विड़्चले जिंल्गी ते कुबैय पूना जिंल्गींग मुड़ कीतन
They have leftovers in their pockets.,उनके जेब में बचा है।,ओनंग कीसा ते पिसतंग।
by climbing,चढ़ाकर,तर्रातोर
"On Saturdays, I spend most of my time at home.",शनिवार को मैं ज्यादा से ज्यादा समय घर पर बिताता हूँ।,सनिचर ता नन्‍ना वेल्‍लो-वेल्‍लो बेरा लोते मन्‍तोना।
I said thank you very much in my life.,मैंने अपने जीवन में बहुत धन्यवाद कहा।,नन्ना अपुना जिंल्गी ते कुबैय सेवामान इतन
The library provides materials for research.,पुस्तकालय में शोध के लिए सामग्री मिलती है।,कागेत डेरा ते कोज ता बाटा चीज पुटयता।
"In the context of women empowerment, I also want to congratulate the sisters who are forced to live a very difficult life due to triple talaq.",महिला सशक्तिकरण के संदर्भ में मैं उन बहनों का भी अभिनंदन करना चाहता हूं जो तीन तलाक के कारण बहुत कठिन जीवन जीने को मजबूर हैं।,महिला सशक्तिकरण ता बारे ते नना अव हेलोह नंग गला जोहार कियायतोन। दोरकिन लोरा (पटहाना) मूण्ड तलाक त कारेन ते कुबेय कठिन जिंल्गी जियेमायला हारे मान्तोर।
Do you carry cash to make purchases?,खरीदने के लिये नगद पैसे लेकर जाते हो?,अस्सनीकं नगदी पयसा पोयस दायनोर।
The cat was drinking milk.,बिल्ली दूध पी रही थी।,बिलाय पाल उन्जोर मंद।
The caves of India are the silent chroniclers of civilisation.,भारत की गुफाएँ सभ्यता के मौन इतिहासकार हैं।,भारत तंग गड़दांग सभ्‍यता तंग चुमुकले मंदले इतिहासकार आँदूँग।
"This period - with full dedication, determination and commitment,","यह दौर – पूरी लगन, संकल्प और प्रतिबद्धता के साथ,","अद बेरा पूरा ध्यानहीस , किरयाकीस, अन आपुना जवाबदारी समझेमास"
"Then his wife, Kande Buri, went out alone to the forest for the tuber.",तब उसकी पत्नी कांेदेन बुढ़ी अकेले ही कंद के लिए जंगल की ओर निकल गयी।,असके ओना आड कोदेन डोकरी वर्राय मानेय मारिना बाहा कोटटुम तिके हत्तु
A doctor is a person who treats patients.,डॉक्टर मरीज की देखभाल करता है।,किसन नांगेल दे पुहाय तोर।
Panneerselvam: From tea stall to chief minister,पन्नीरसेल्वम : चाय की दुकान से मुख्यमंत्री तक का सफर,पन्नीरसेल्वम: चाय ता दुकान तह मुख्यमंत्री निगा एवनह हन्दले
Now they send their produce to Tamil Nadu and West Bengal.,अब वे अपनी उपज तमिलनाडु और पश्चिम बंगाल भेजते हैं।,आपुना उपजेह कीले तुन ओर इदे्क तमिलनाडू अन् पश्चिम बंगाल ते लोह मंजल।
People of this time valued health and hygiene.,इस समय के लोग स्वास्थ्य और स्वच्छता को महत्व देते थे,इद पहर ते मानेय बने मदना अन चुकले इर्राना ता दियन हीन्दूर
The water is safe for sailing.,पानी जहाज का सफर सुरक्षित होता है।,एर्र जहज ते दायना रोका होरकुल आयता।
The soil of India is fragrant with the fragrance of reverence.,भारत की मिट्टी में श्रद्धा की गंध रची-बसी होती है।,भारत ता तोड़िय ते नेंग ता दयंगले रचेह-पोदिह आयता।
Bhagat Singh's biography is unique.,भगत सिंह की जीवनी अद्वितीय है,भगतसिंह ना पीटो वेहनाह मंता
"had come to a standstill in the face of a terrible disaster, during which,","एक विकराल आपदा का सामना करते हुए ठहर सी गई थी, उस दौरान,","उन्द बेरहाय हामूर संगने लड़ेमासोर मता,"
We have also got an opportunity to see the events happening around us from a new perspective.,हमें अपने आस-पास घट रही घटनाओं को नए नजरिए से देखने का भी अवसर मिला है।,"मावा हेरे-हेर्रेय आयनंग अड़चेनिंग नुंग, उन्द लहलहा कोन्डा ते हुड़ानता मोका गला पुटान्ता"
"Gradually, both parents start learning the work.",धीरे-धीरे दोनो माता-पिता से कार्य सीखने लगते है,धीरे-धीरे रेण्डो अव्वा-बाबो तह बुतो कर्रययतोर।
Science and technology also have significance in Indian politics,भारतीय राजनीति में विज्ञान और प्रौद्योगिकी का भी महत्व है,भारतीय राजनीति ते विज्ञान अन प्रौद्योगिकी ता गल्ला कुबेय कास मंता
"There should be a Citizenship Amendment Act for refugees suffering because of faith, there should be a right to reservation for Dalits / backwards / SC / ST / OBC,","आस्था के कारण पीड़ित शरणार्थियों के लिए नागरिकता संशोधन कानून हो, दलितों/पिछड़ों/एससी/एसटी/ओबीसी के लिए आरक्षण का अधिकार हो,","लगाव ता कारेन गिरहो आस मंजाल बालेर ता काजे मानेयता बदलोह कीले कानून आयी, हरजेन, पर्रके बिताल, हरजेन, आदिवासी, पर्रकेडोर ता काजे ओना बाटा हक आयी,"
What is the most important thing that is overlooked?,कौन सी चीज़ है जो अनदेखी होने के बावजूद सबसे महत्वपूर्ण है?,बाता जिनिस आंद अद् हूड़ोन लेहका आसक गला सबे पहजे मंता
Jayanta Mahapatra has created a new identity with his writing.,जयंत महापात्रा ने अपनी लेखनी से बनाई नई पहचान,जयन्त महापात्र ल आपुना कोटले ते उन्द पूना पहचान पण्डतोर
The turtle will swim slowly in the sea.,कछुआ समुद्र में धीरेण्धीरे तैरेगा।,हम्मुल टड्डी ते दीरे-दीरे नरिलर।
She seemed to be asking God in her heart why Sarah Jahan's grief was on her part.,ऐसा लगता था कि वह मन ही मन ईश्वर से पूछ रही हो कि सारा जहान का दुःख उसके हिस्से में क्यों है?,इदम लेहका आन्द अगा आपुने आपून बगवान तुन पुचे मांद सपय न दुकड़ नाकुन ही बाकिया आन्ता
The thatched hut in India also lends itself to it.,भारत में घास-फूस की झोपड़ी भी अपनापन देती है।,भारत ते जाड़ पीर ता कुरमा गला आपुना सुक हिययता।
The rebellion inspired a revolt against the English administration.,विद्रोह ने अंग्रेज़ी प्रशासन के खिलाफ विद्रोह को प्रेरित किया,लड़ेय अंग्रेज सरकार ता किलाप लड़ेय तून प्रेरित कीत।
They are learning new things.,वे नई चीजें सीख रहे हैं।,ओर लोर पुंना बीड़ारिंग कर्रययतोर।
St. Augustine's Church is a part of the UNESCO World Heritage Site - Churches and Convents of Goa.,सेंट ऑगस्टाइन चर्च यूनेस्को विश्व धरोहर स्थल का एक हिस्सा है - गोवा के चर्च और कॉन्वेंट,"सेंट साधु लोरा चर्च, यूनेस्को ता मुन्नेता उदना चर्च अन मठ ला गोवा ता उन्द हिस्सा मंता"
Life in the air would be diminishing.,हवा में जीवन कम हो रहा होगा।,वड़दे जिनगी उचुय आंद होही।
Nothing to fear will happen to the rats.,डर कुछ भी चूहों को नहीं होगा।,बिन वर्रे हुपेना आयो
I saw a movie.,मैंने एक फिल्म देखी थी।,नन्ना उन्द सिलिमा हूड़स मत्तोना।
His wife's name was Smita.,उनकी पत्नी का नाम 'स्मिता' था।,ओन आड़हारी ना पोरोय ’’हिमता ’’ मन्ता।
The child was playing.,बच्चा खेल रहा था।,पीला कर्रस्सोर मता।
Boat floats on water.,नाव पानी में तैरी।,ढोंगा एर्रते नर्रत्।ि
I will break a lot of promises in my life.,मैं अपने जीवन में बहुत वादे तोडूँगा।,नन्ना आपुना जिंल्गी ते कुबैय वायदा बंग कियाका
Research on heat islands is ongoing.,ऊष्मा द्वीपों पर अनुसंधान जारी है,एद्द द्वीपी नह मिले माले पड़काना (कोज कियना) बर्ससोर दायता
"Your Majesty, this is the crowned eggplant.","महाराज, यह मुकुटधारी बैंगन है","महाराज, इद मुकुट बित्ती आपांग आंदूंग"
Eliminating the distinctions of Karak can increase mutual understanding in society.,कराक के भेदों को समाप्त करने से समाज में आपसी समझ बढ़ सकती है।,अवे असेरिनुंग माहिहतेक बुमकाल ते आपुने तिगेमायना बर्रस परता।
I listened to music.,मैं संगीत सुनता था।,नन्ना पटांग कैंजदन ।
Stock markets closed on Eid,ईद के मौके पर शेयर बाजार बंद,ईद ता मौका ते शेयर हाटूम बंद
Folklore in the language of India keeps history alive.,भारत की भाषा में लोकगीतों से इतिहास जीवित रहता है।,भारत त पोल्‍लो दे मानेय मंजा ता ओयलेंग पाटांग तयहा जीवोत मंता।
The woman of India shapes the family with her rites of passage.,भारत की नारी अपने संस्कारों से परिवार को आकार देती है।,"भारत तंग मुयताड़ आपूना रीत, नेंग तह कुन्‍दा तुन मुरहेन हीन्‍ता।"
"I am neither cloth nor iron, yet all wear me - tell me what I am?","न कपड़ा हूँ, न लोहा, फिर भी सब मुझे पहनते हैं — बताओ मैं क्या हूँ?",गेतिल आयोन न लोह्हा मति गला सपोय नाकुन सीने मायतोर-वेहट नन्‍ना बाता आँदन?
How are you?),आप कैसे हैं ?),निम्मा बदाम मंतोन
"Ishqbaaz, February 10: Come to Tia's point, Anika is thinking of herself as Kalavati Thakur","इश्‍कबाज, 10 फरवरी: टिया की बातों में आ, खुद को कलावती ठाकुर समझ रही है अनिका","इश्कबाज, 10 फरवरीः टिया नांग पोल्लो ने पास, आपुनीन कलावती ठाकुर समझे मानता अनिका"
"I'm once again,","मैं एक बार फिर,","नना उन्द बेरा पेर,"
Raman always inspired his students.,रमन हमेशा अपने छात्रों को प्रेरित करते थे।,रमन आपुना पड़ेह कियानांग पीलानुंग हमेशा जागेह कितुर
Is this an original product?,क्या यह ओरिजिनल प्रोडक्ट है?,बाता इद्द असली बिडाड़ आंद
He believed that freedom could only be achieved through war.,उनका मानना था कि स्वतंत्रता केवल युद्ध के माध्यम से ही प्राप्त की जा सकती है,ओना बिचार मन्ता कि लड़ाई तहे माक मेलाय मंदला पुटार।
The clothes were embroidered with flowers.,वस्त्रों पर फूलों की कढ़ाई की गई थी।,गत्तीने पुंगह ना बिनकर कीले मत्ता।
And we got inspiration from them also... So at that time we thought that the body which is there will merge into the Panchtatva.,और उनसे भी हमें प्रेरणा मिली...तो उस समय हमें लगा कि जो शरीर है वो पंचतत्व में विलीन हो जायेगा,अन ओरा त गला माकुन असली पोल्लो पुट्स अदेनका अद बेरा माकुन आत अन जो मेंदूल आंद अद हैय्रग प्रकार त तत्व ते मिले मायर
It is only through knowledge that the soul attains peace.,ज्ञान से ही आत्मा को शांति मिलती है।,अकल तटे जीवा तुन सुक पुटयता।
The bees were gathering honey.,मधुमक्खियाँ शहद इकट्ठा कर रही थीं।,पूक वीसिंग पूकनिय जुहह कीसोर मंदुंग।
Tamarind leaves add freshness to salads.,इमली की पत्तियाँ सलाद में ताजगी लाती हैं,हिता ता आकिंग हांकड़ा ते ताजा तेतेन्ता ।
Blue was my favorite color!,मेरा पसंदीदा रंग नीला था।,नावा सोबय हीले बूम रंग मत्ता।
The blood donation camp must have been cancelled due to water.,पानी के कारण रक्तदान शिविर रद्द हो गया होगा।,पिर्रदा मारे नतुर हीयाना शिविर जुक्स होही।
Where did people come from at the Lingo Fair?,लिंगो मेला में कहां-कहां से लोग आते थे?,लिंगो मंडेय ते बोगा-बोगा डह मानेय वान्दुर ?
"Mahua juice called ""Tadpan"" is offered to the mother.",महुआ के रस जिसे ‘‘तड़पन’’ कहा जाता है माता को चढ़ाया जाता है,पेन तुन इरूहक न दाड़गो तरहायातोर
I can burn without heat - tell me what am I?,मैं बिना गर्मी के जला सकता हूँ — बताओ मैं क्या हूँ?,नन्‍ना अद्द लेवाय पोत्तिह पर्रयतोना-वेहट नन्‍ना बाता आंदन?
"Without the sun, life on Earth would not be possible.",सूरज के बिना पृथ्वी पर जीवन संभव नहीं होगा।,पोड़्द ता लेवा हरती ते जिल्गी आया पर्रो आयर।
The election law for the Lok Sabha is the basis of the election process in India.,लोकसभा के लिए चुनाव कानून भारत में चुनाव प्रक्रिया का आधार है,लोकसभा ता बाटा चुनाव कानहून भारत ते चुनाव प्रक्रिया ता नेव आंद
Are we seeing a jam?,क्या हम जाम देख रहे हैं?,ब ? अद पंका तुन बंद किययता ?
"They receive rice, pulses, gram, salt under the Antyodaya Yojana of the Chhattisgarh government.","छत्तीसगढ़ सरकार की अंत्योदय योजना में इन्हे चावल, दाल, चना, नमक प्राप्त होता है","छत्तीसगढ़ सरकार ता अंत्योदय योजना, ते एरकुन नूकंग, दारिंग सन्नंग होवोर पुटयतंग।"
"Hello,","नमस्कार,",जोहार
I ended up living a lot older in my retirement life.,मैंने अपने सेवानिवृत्ति जीवन में बहुत पुराने जीवन समाप्त किए।,नन्ना अपुना सेवा विड़्चले जिंल्गी ते कुबैय पड़ाना जिंल्गी मार्रिह्तन
But I see that the young minds of my country are now focusing on the best,"लेकिन मैं देख रहा हूँ, मेरे देश का युवा मन अब सर्वश्रेठ की तरफ अपने आपको केन्द्रित कर रहा है","मति, नना हुड़यतोना, नावा देस तोर जवान्क लोर इडेक कुबेय बेस तिके आपुने आपुन तुन कुडहयता।"
Artists will be exhibiting their work.,कलाकार अपनी कला का प्रदर्शन करेंगे।,बिनकार आफना बिन कारतुन लोहानुर।
Not a single member of the society should be left unhappy or destitute.,समाज का एक भी सदस्य दुखी या अभाव-ग्रस्त न रह जाए।,समाज ता उन्द गला सदस्य दुक अन बाताय लेवय लेहका मनमकी।
Women should get the right benefits of health services,महिलाओं को स्वास्थ्य सेवाओं का सही लाभ मिलना चाहिए,मुयतह कुन परवा बेरा ते सही पायदा पुट्टाना आयी।
Education is the key to progress.,शिक्षा प्रगति की चाबी है।,शिकचा बर्रसयन्‍ना ता कुंजी आंद।
They may be planning a vacation.,वे छुट्टियों की योजना बना रहे होंगे।,वोर तातिल ता बिचर पन्डसोर मंदानुर आयर।
Teachers teach us well.,शिक्षक हमें अच्छे से पढ़ाते हैं।,माट पुनंग कागतिंग असयतोरोम।
Nana ji must be telling the story.,नाना जी कहानी सुना रहे होंगे।,अक्को कत्तंग केन्जिह सोर मन्दानुर होही।
"So we explain to them which problem you have, which day it will be fixed.","तो हम उनको समझाते हैं कि आपकी कौन सी दिक्कत, किस दिन ठीक होगी","अस्के माट ओर कुन समजाह किययतोरोम कि निय्या बाता अड़चेन, अन बोद्द दिया सही आयर"
"In tribal culture, the gods and goddesses are directly related to nature.",जनजातीय संस्कृति में देवी-देवता का सीधा संबंध प्रकृति से है,जनजातीय संस्कृति ते पेन-पुरूड़ ता सीधा संबंध प्रकृति तह मन्ता।
The ship would have been shaken in the water.,पानी में जहाज हिल चुका होगा।,एर्र ते जिहाज होले मास मंद होही।
The Tsunami Management Association was cancelled due to the water.,पानी के कारण सुनामी प्रबंधन संघ रद्द हो गया था।,पिर्र दा मारे सुनामी प्रबंधन संघ जुक्स मंद।
"Barbers, potters, etc. are also no longer given grain.","नाई, कुम्हार आदि को भी अब अनाज नही देते है","नाउ, कुम्मान गला इदेक जेवर हेवोर"
