English,Hindi,Mundari
"In 1926, the ""Lime Stone Company"" was restored, except for the work on the right Lutheran mission school.",सन् 1926 ई. में दाहिजिरा लूथेरान मिशन स्कूल के काम को भी छोड़कर ‘‘लाइम स्टोन कम्पनी’’ के काम में बहाली हो गये।,"1926 ई० रे दाहिजिरा लूथेरान मिशन इसकूल रअःओ कमिः बगेकेद् चि ""लाइम स्टोन कम्पनी"" रअः कमिः सब् केदा ।"
They found many fish as well as many crabs and turtles.,उन्हें बहुत मछलियाँ मिलीं साथ ही बहुत से केंकड़े और कछुवे भी मिले।,हई बारी गे दो का ओड़ोःगे कड़ाकोम को होरो को सब केद् कोवा।
"Then Donka said - Then, how will we do it now?","इसके बाद डोंका ने कहा- तब, अब हमलोग किस तरह करेंगे ?",एनते डोंका मेनकेदा - चि तोबे! नाअःदोबु चिलकाएअ?
"Seven years ago, we used to import mobile phones worth about eight billion dollars.",सात साल पहले हम लगभग आठ बिलियन डॉलर के मोबाइल फोन import यानी आयात करते थे।,एआ सिरमा सिदा आबु कारेदो इरलिआ (आठ) बिलियन डॉलर रअः मोबाइल फोन असि तन ताइकेना।
"Due to their closure, the soup baskets are not available in the haat and the Turi people are begging here and there.","उनके द्वारा कामों को बन्द करने के कारण, हाट में सूप टोकरियां नहीं मिल रहा है और तुरी लोग इधर उधर भीख मांग रहे हैं।","इनकु कमि होकोजन रअःते, पीटिरे हटअः टुंकि का नमोःतना, अद् ओड़ेअको कोएं बड़ातना।"
is there any forecast of rain or snow this week,क्या इस सप्ताह बारिश या हिमपात का कोई पूर्वानुमान है,चिअः ने हपता जरगि च रतङ दअः गमा रेअः जेतन ओनमान मेनअःचिअः ने हपता जरगि च रतङ दअः गमा रेअः जेतन ओनमान मेनअः
"Friends, Along with all this, the year 2022 will always be remembered for another reason.","साथियो, इन सबके साथ ही साल 2022 एक और कारण से हमेशा याद किया जाएगा।","सोंगेः को, नेआःकोलोः मिसाते सिरमा 2022 रे भोड़ो मियद कारन ते सोबेन सोमय को उइु कोवा।"
"""Why not? So you can spend your time with this tramp!""","""क्यों नहीं? तो आप इस tramp के साथ अपना समय बिता सकते हैं!""","चिअः  क? दो अम ने tramp लोः  अमअः  सोमोएम बितव दड़िआ! """
"Then, in the courtyard, the two are being given an oil massage, with the oil massage stopped and some invited men, brought for the box, new clothes are being wrapped around their heads.","इसके बाद आंगन में दोनों को, तेल का मालिश किया जा रहा है, तेल मालिश बन्द करने के साथ कुछ कुछ निमंत्रण दिये गये आदमी, बक्सीस के लिए लाये गये, नये कपड़ों से उन दोनों के सिरों को ओढ़ाया जा रहा है।","एन तयोमते रचारे  सुनुमको गोसोःजद्किङअ; सुनुम गोसोः होकाजनलोःगे, तरामरा नेओता होड़ोको, बकसिस मेनते अउकअद् नबा लिजअःतेको गुगुलजद्किङअ।"
"Today, the common citizen is not satisfied with getting a railway station, he immediately asks, when will the Vande Bharat Express come to our area? His mind has changed.","""आज सामान्‍य नागरिक रेलवे स्‍टेशन मिलने से संतुष्‍ट नहीं है, वो तुरंत पूछता है, वंदे भारत एक्सप्रेस हमारे इलाके में कब आएगी? उसकी सोच बदल गई है। ""","तिसिङ सोंगड़ा होड़ो को रेलवे स्टेशन नम जन रेयो जेतन सुकुगे बनोगा, इनकु रोका को कूलिआ चि बंदे रेलवे एक्सप्रेसअबुअः भारतरे चिउला हिजुगा? इनकुअः उडु़ः को बदिलि उतरा कना।"
"You will also have some things in your mind, which you would like to have your say from the Red Fort with the same intensity.","आपके मन में भी कुछ बातें होंगी, जो आप चाहते होंगे कि आपकी बात भी लाल किले से उतनी ही प्रखरता से रखी जाए।","आपेअः मोन रेओ जांन जगर को मेनअः, ओकोनअः अम् सनङ तना चि अपेअः जगरओ लाल किला रे इमिनङ गि केटें ते जोगाओका।"
"Lochon - A few days ago, the two of us had a conversation with the Donka boy, I asked them if it would be okay if he did not.","लोचोन- कुछ दिन पहले डोंका लड़का के साथ हमदोनों ने बात किया था, उस तरह का ठीक होगा कि ठीक नहीं होगा कहके मैंने उनदोनों से पूछा था।",लोचोन - होनदेर डोंका कोड़ालोःबु जगरकेदा एनकनअः टउकाओअ चि का टउकाओअ मेनतेङ कुलिकेद्किङअ।
Plus-minus will highlight everything.,plus-minus हर चीज़ को उजागर करेंगे ।,"plus-,minus सोबेन रअः को उदुबेया।"
"However, the CBI has denied the charges.",यद्यपि सीबीआई ने इन आरोपों को खारिज कर दिया है।,एनकादो सीबीआई नेआ आरोपकोएः खारिजतादा।
Have you tried any new activities lately?,क्या आपने हाल ही में कोई नई एक्टिविटी ट्राय की है?,चिनअः अम् ने हालि रे जांन नवा चाल-चोलोन कमि को रिका कदा?
"""e) Prime Minister Modi has underlined his commitment to improving the business climate in India through tax, governance and financial regulation, and promoting investment.""","""ई) प्रधानमंत्री श्री मोदी ने कर, प्रशासन और वित्तीय नियमन तथा निवेश को बढ़ावा देकर भारत में व्यापार माहौल को सुधारने को लेकर अपनी दृढ़ता को रेखांकित किया है।""","ई) प्रधानमंत्री श्री मोदी कर, प्रशासन ओड़ोः खुरजि नियम ओड़ोः निवेश के बढ़ाव एमकेते भारत रे बेपार महौल के बइ रूड़ा मेनते अयअः दृढ़ता के रेखा केदा। """
........ is the natural resource that........ people created.,...... प्राकृतिक संसाधन है जो कि.......लोगों ने बनाई।,"........................ प्राकृतिक संसाधन तना, ओकोअ चि ...................... होड़ो को बइ तदा।"
"""When everyone's efforts were successful, this is the biggest success of Chandrayaan-3. I wish that our space sector will achieve many more such successes with everyone's efforts in the future,"" he said.","""जब सबका प्रयास लगा, तो सफलता भी मिली। यही चंद्रयान-3 की सबसे बड़ी सफलता है। मैं कामना करता हूँ कि आगे भी हमारा Space Sector सबका प्रयास से ऐसे ही अनगिनत सफलताएँ हासिल करेगा।""","""ओकोन इमतंङ सोबेन कोअः कोसिस लगाव कना, दो सफलताओ नमा कना। नेअः चंद्रयान-3 रअः सोबेन ते मरंङ सफलता तनअः। आञ कामना तना चि अयर ते ओ अबुअः Space Sector  सोबेन कोअः कोसिस ते नेका गि बेहिसाब सफलता को नम दाड़िओआ।"""
"A few months ago, the country and the world saw the new avatar of Gandhinagar Railway Station in Gujarat.",कुछ महीने पहले गुजरात में गांधीनगर रेलवे स्टेशन का नया अवतार देश और दुनिया ने देखा था।,हुड़िङ चन्डुः सिदा गुजरात रेअः गांधी नगर रेल टेसन रअः नवा मुटन दिसुम ओड़ोः गोटा दिसुम को लेल लअः।
This is actually a major change in mindset.,वास्तव में यही है मानसिकता में एक बड़ा परिवर्तन यह उसी का जीता जागता सबूत है।,सरते कजि दो नेआ गे मानसिकता रे मियद मरंङ बदलि नेआ एना रेआः जीदतन सबुत तना।
"You will be happy to know that in that program, from Malaysia, New Zealand, Switzerland, Portugal, Mauritius, Fiji, Tanzania, Kenya, Canada, Britain, Surinam, South Africa and America, and from many other countries, wherever our mayors are Native-Indians, wherever there are MPs Native-Indians, they all participated.","आपको यह जानकर खुशी होगी कि उस कार्यक्रम में Malaysia, New Zealand, Switzerland, Portugal, Mauritius, Fiji, Tanzania, Kenya, Canada, Britain, Surinam, दक्षिण अफ्रीका और America से, और भी कई देशों से वहाँ जहाँ-जहाँ हमारे मेयर हैं मूल- भारतीय, जहाँ-जहाँ सांसद है मूल-भारतीय, उन सब ने भाग लिया था।","नेआ आयुम केआते जी रसिका पेआ चि एन कार्यक्रम रे Malaysia, New Zealand, Switzerland, Portugal, Mauritius, Fiji, Tanzania, Kenya, Canada, Britain, Surinam, दक्षिण अफ्रिका ओड़ोः America ते, ओड़ोःगे चिमिन-चिमिन दिसुम कोरे अबुआः मेआर को ताइनतान मूल भारतीय, ओकोताः कोरे सांसद मेनाः-कोअ मूल भारतीय, इनकुः सोबेन भाग को अगुलाः।"
"If you see an item that you know is over your budget, don't stop by.",यदि आप कोई ऐसी वस्तु देखते हैं जो आपको पता है कि आपके बजट से अधिक है तो उसके पास न रुकें।,जुदि अम एनकन जिनिस कोम लेलेआ ओकोआ अमके मुनड़ि मेनअः चि अमअः बजट ते पुरअः मेनअः दो एना तअः अलोम तइना।
"""And people just sent messages, not that, they were connected to the mind; somebody wrote poetry, somebody drew pictures, somebody drew cartoons,"" he said.","""और लोगों ने सिर्फ़ सन्देश भेजे, ऐसा नहीं, मन से जुड़ गए थे; किसी ने कविता लिखी, किसी ने चित्र बनाए, किसी ने कार्टून बनाए,""","""ओड़ोः होड़ोको संदेश बारिको कुलाकेदा, नेका का, मोनते जोटोःलेना; ओकोनिः दुरङए ओलकेदा, ओकोनिः छापाए बइकेदा, ओकोनिः कार्टनए बइकेदा, """
"Someone is writing, talking to friends, saying, that, this year is not good, someone is saying 2020 is not auspicious.","कोई लिख रहा है, दोस्तों से बात कर रहा है, कह रहा है, कि, ये साल अच्छा नहीं है, कोई कह रहा है 2020 शुभ नहीं है I","ओकोए ओल जदा, सोंगे को लोः जपागर तना, कजि जदाए, चि ने साल/सिरमा बुगिनअः का तना, ओकोए कजि जदा चि 2020 बुगिनअः का तना।"
"""You have chalk on your face.""","""तुम्हारे चेहरे पर  chalk है।""","""अमअः मेद्मुअंड़ रे chalk मेनअः।"""
"In the freedom struggle, India also moved forward with the strength of solidarity, the strength of its collectivity, its resolve, dedication and inspiration towards a brighter future.","आजादी की लड़ाई में, पूरे-पूरे विश्व में भारत ने भी एकजुटता की ताकत, अपनी सामूहिकता की ताकत, अपने उज्जवल भविष्य के प्रति अपना संकल्प, समर्पण और प्रेरणा - उस ऊर्जा को लेकर देश आगे बढ़ता चला गया।","आजादी रआः लड़ाई रे, पुरा दिसुम रे भारतओ मिद रे जमन रेआ पेदेए, अपना सामूहिकता रआः पेड़ेए, अपनाः उज्जवल भविष्य रआः प्रति अपनाः संकलप,समर्पण ओड़ो प्रेरणा हेन ऊर्जा को इदि केयाते दिसुम बढव तान सेनो इदि जना।"
All of them come from poor families.,सभी गरीब घरों से ही आते है।,सोबेन रेंगे: ओड़अ: को रेन होन को गेआ।
I wish Kamya all the best for Mission Saahas.,मैं काम्या को ‘Mission साहस’ के लिए अपनी शुभकामनाएं देता हूँ।,अइञ काम्या को 'Mission साहस' मेनते अपना शुभकामना ओमाइ तना।
"As in previous chapters, there will be a discussion focusing first on generalities and then on India.",पिछले अध्यायों की तरह पहले सामान्य बातों और फ़िर भारत पर केंद्रित चर्चा होगी।,तयोम कुतुइल को ललेका सिदा सोंगड़ा जगर कोरे ओड़ोः तयोमते भारत रे केन्द्रित जपागर होबाओःअ।
The water that was falling on the chapua fell into the garment that Badda was wearing for the decoration and into his body.,जो पानी चपुवा पर पड़ रहा था वह पानी सब बडदा ने सिंगार करने के लिए जो वस्त्र पहना था उसमें और उनके बदन में गिर गया।,एन चपुअरे टोःलेन दअः बड़ंदा कोड़ाअः कलगारे टोःजना।
I caught him watching at my house.,"मैंने उसे अपने घर में देखने को पकड़ा।""","अइञ इनि अइञअः ओड़अः रे लेल सब किइञअ। """
One rupee will be given for a cup of tea.,एक रुपया पान खाने के लिए देंगे।,मोद् टका पान जोम मेनते-लिङ ओमअमेअ ।
"Seats are reserved for Scheduled Castes, Scheduled Tribes and Backward Castes in the posts of members and office bearers of elected autonomous bodies.","निर्वाचित स्वशासी निकायों के सदस्य तथा पदाधिकारियों के पदों में अनूसचित जातियों, अनुसूचित जनजातियों और पिछड़ी जातियों के लिए सीटें आरक्षित हैं।","निर्वाचित स्वशासी निकाय कोअः गुसिया को ओड़ोः पदाधिकारी कोअः पद कोरे अनुसूचित जाति को, अनुसूचित जनजाति को ओड़ोः पिछड़ा जातिको नङ सीट आरक्षित मेनअः।"
There is a possibility of a new world order even after Corona.,कोरोना के बाद भी Post Corona नये world order की संभावना है।,कोरोना रेअः तयोम तेओ Post करोना नवा world अचुन रेअः संभवना मेनअः।
And what is the solution you are looking for?,और आप कौन सा उपाय चाह रहे हैं ?,ओड़ोः चुकन उपएएम नमतना ?
"Till now, the benefit of reservation in jobs was available only to the Scheduled Castes and Tribes.",अब तक नौकरी में आरक्षण का लाभ केवल अनुसूचित जाति और जनजातियों को ही मिल रहा था।,नाअः जकेद् रे नौकरी रे आरक्षण रअः लाभ अनुसूचित जाति ओड़ोः जनजाति को बारिगे को मनजद तइकेना।
Low pressure is associated with cloudy skies and wet weather.,"निम्न दाब, बादलयुक्त आकाश एवं नम मौसम के साथ जुड़ा होता है।","कम दाँपि, लअरि मेसा सिरिमा ओड़ोः हेमाल बदली होयो लोः ते जुड़ाकन तइन तना।"
The city of Bengaluru in Karnataka is also known as the'Silicon Valley '.,कर्नाटका में बेंगलुरु शहर को 'सिलिकॉन वैली' के नाम से भी जाना जाता है।,कर्नाटक रे बेंगलुरू शहर 'सिलिकन वैली' लुतुम तेयो को इतुवाना।
"""The water of the three jewels of the earth is the best.",“ पृथिव्यां त्रीणि रत्नानि जलमन्नं सुभाषितम्।,"""पृथिव्यां त्रीणि रत्नानी जलमन्नाम सुबासितम।"
Your parents will be suspicious if you come home late two days in a row.,यदि आप लगातार दो दिन देर से घर आते हैं तो आपके माता-पिता को संदेह होगा।,जोदि अम खनेसा बरसिङ हेड़ा ते ओड़अःम हिजुः रे दो अमअः एंगा अपुको अड़अः उड़ुः कोअः।
"He considered liberty, equality, and fraternity to be interdependent. He firmly believed that the absence of any one of these three makes the other two meaningless.","""स्वतन्त्रता, समता, और भाई-चारा को वे एक दूसरे पर निर्भर मानते थे। उनकी दृढ़ मान्यता थी, कि इन तीनों में किसी एक के अभाव में बाकी दोनों अर्थहीन हो जाते हैं।""","स्वतंत्रता, समता ओड़ोः भाई-चारा के अको मियद् एटअः निः लोः ते निर्भर को मनातिङ तन तइकेना। इनकुअः केटेः मनातिङ तइकेना, चि ने अपिआ रे जांय मियद् रअः अभाव रे सरेः बरन किङ मतलबी होबाओःअ। """
The government has also brought in a modern bankruptcy code.,सरकार एक आधुनिक बैंक्रप्सी कोड भी लाई है।,सरकार मिआद आधुनिक बैंकर बेसे कोड आउ तादाए।
He provoked our brother to harm us.,हमारी नुकश्सानी करने के लिए हमारे भाई को उसकाया।,अबुअः नोकोसान मेनते अबुअः हगाए उसकुरकिःअ !
What does that mean?,इसका क्या मतलब?,नेयारः चिकन मने (सनं)?
The ozone layer has been porous.,ओजोन मण्डल में छेद हो गया है।,ओजोन मण्डल रे बुः होबा जना।
"""In addition to defence equipment, I invite Korean investment in areas such as shipbuilding, including LNG tankers.""","""रक्षा उपकरणों के अलावा, मैं एलएनजी टैंकरों सहित जहाज निर्माण जैसे क्षेत्रों में कोरियाई निवेश को आमंत्रित करता हूं।""","रक्षा उपकरण को रअः अलावे, अइञ एलएनजी टैंकरो लोओते जहाज बबइ लेकन टयद् कोरे कोरअः निवेश के नेवता तना। """
This will give a boost to the momentum to fulfil our resolve of a developed India.,यह हमारे विकसित भारत के संकल्प को पूरा करने की गति को बढ़ावा देगा।,नेअ अबुअः विकसित भारत रेअः संकल्प के पूरा रिका रेअः गति के बढ़व इदिअः।
"Thinking that the villagers would not be witnesses against me, he went to the nauva and approached a Rajput watchman.","गाँव के लोग मेरी ओर गवाह नहीं बनेंगे, यह बिचार करके वह नौवा के पास गया और एक राजपूत चौकीदार के पास गया।","हतु हगाको अइङ सअःरे काको गोवाना मेनते बिचारकेंद्ते, सेतअः मिअद् नउअतअःए सेनोःजना अद् मिअद् रजपुतु दिगुअर तअःए सेनोः- जना ।"
"Customs have a special place in Ladakh's culture and the predominant language is Sanskrit, where people often wear churidars.","लद्दाख की संस्कृति में रीति-रिवाज़ का विशेष स्थान है और यहाँ की प्रमुख भाषा संस्कृत है, जहाँ लोग अक्सर चूड़ीदार पहनते हैं।","लद्दाख रअः ससंकिर रे रीति-रिवाज रअः बिसेस टयद मेनअः ओड़ोः नेतअः रअः मूल जगर संस्कृत तनअः, ओकतअः रे होड़ो को जनव चुड़िदार को तुसिंङ जदा।"
Fertilization results in the formation of zygotes (Fig. 6.6).,निषेचन के परिणामस्वरूप युग्मनज का निर्माण होता है (चित्र 6.6)।,निषेचन रेअः परिणामस्वरूप युग्मनज रअः निर्माण होबाओ तना (छपा 6.6)।
The quarrel has been settled and it has settled down.,झगड़ा शान्त हो जाये कहके अलग खिसक गयी हैं और इसने ठीक की हैं।,"एपेरङ हपेओका मेनतेए गसव कना, अदे टउकातदा।"
"Tripura's traditional costumes are very attractive, although the cuisine is popular throughout the country.","त्रिपुरा की पारंपरिक पोशाकें बहुत आकर्षक होती हैं, हालांकि का खाना देशभर में पसंद किया जाता है।","त्रिपुरा रआः दसतुर को इसु लेलोःआ, मेनदो इसुपुराः जोमेआः को गोटा दिसुम रेको सुकुया।"
"After finishing the handi with the entire family, Laddu said, ""Babu Gujuru, what is cooking in your house?""","समूचे घर वालों के साथ हाँड़ी पी खत्म कर लदु ने कहा, ""बाबू गुजुरु तुम्हारे घर में क्या तियन पका रहे हैं?""","गोटा ओड़अः रेनकोलोःते इलिको नूचबाकेद्ते, लदु मेनकेदा, ""अते, बबु, गुजुरु, अपे ओड़अःरे चेनअःको उतुजदा ?"""
That he spread his songs through this medium is not to be taken for granted.,"इस माध्यम के जरिये वे अपने गीतों का प्रसार किये, यह स्वीकार करने की बात नहीं है।",ने होरा ते इनकु अकोअ: दुरङको नितिर लअ: नेआ मनातिङो: कजि का तनअः।
Can we make games on them?,क्या हम उन पर games बना सकते हैं ?,चना अबु नेया कोरे गेम्स कोबु बइ दड़ियाः ?
"In these two overs, he gave away 13 runs while taking no wickets.","""इन दो ओवरों में उन्होंने 13 रन दिए थे, जबकि उन्हें कोई विकेट हासिल नहीं हो पाया था।""","नेअः बरिया ओवर रे इनिः 13 रन ओम लअः, ओको इमतङ इनिः जेतन विकेट का नम दड़िओ तइना।"
Is there a single camera?,"""क्या एकल कैमरा?""","""चिनअः एसकर केमरा?"""
"Come, let's take a break.","आईये, आपलोग विश्राम कीजिए।",692
One of the song books of Fr Martin Topno is'Piolio Song'( Piolio Durango).,फादर मार्टिन तोपनो के गीत किताबों मे से एक तो 'पियोलियो गीत' (पियोलिओ दुरङको) है।,फादर मार्टिन तोपनो गोमकेअ: दुरङ पुथिको रे मियद् दो ' पियोलिओ दुरङको' तनअ:।
"On this day, Guru Gobind Singh's sons, Sahibzade Zorawar Singh and Fateh Singh, were hanged alive in the wall.","आज के ही दिन गुरु गोविंद जी के पुत्रों, साहिबजादे जोरावर सिंह और फतेह सिंह को दीवार में जिंदा चुनवा दिया गया था।","तिसिङाः दिन गे गुरू गोविंद जीःअ होनको, साहिबजादे जोरावर सिंह ओड़ोः फतेह सिंह कोके पाचरि रे जिद गेको बिद् किआ।"
The press conference was attended by a number of questions from newspaper reporters.,इस प्रेसवार्ता में अखबारों के संवाददाताओ ने अनेक प्रश्‍न पछे। इन  चर्चाओ की  रिपोर्ट विभिन्न समाचापत्रो में प्रकाशित हुई।,ने प्रेसवार्तारे अखबाररेन संवाददाताको साड.गिगे सवालको कुलिकेदकोअ निअः जपागारराः रिपोर्ट नएअः-हनाः समाचारपत्ररे उड़ुड.जाना।
It left a deep impression on my mind.,मेरे मन पर गहरा प्रभाव छोड़ जाती हैं ।,अञा जि रे तइ गिड़िवा।
Transfer 114 contacts to the landlord as a March payment.,114 संपर्क मकान मालिक को मार्च के भुगतान के रूप में ट्रांसफ़र करें।,114 जोड़ेन ओड़अः किसन के मार्च रअः ओमे लेकाते 114 जोड़ेन ओड़अः किसन के मार्च रअः ओमे लेकाते कुल लगातिङअ। लगातिङअ।
"Left wing extremism, Maoism is staining the country with blood.","left wing extremism, माओवाद देश को रक्‍त से रंजित कर रहा है।","left wing extremism, माओवाद दिसुम मयोम तेएः रंगा चबा जदा।"
Play music by a given artist,किसी दिए गए कलाकार का संगीत चलाओ,ओमाकन ओनोल गोमकेअः दुरंग दुराङएमओमाकन ओनोल गोमकेअः दुरंग दुराङएम
"Maday-Ay, Grandma! You were somewhere in Durbagh, what animal is that?","मदे- ऐ, दादी ! आपने डूरबाघ कहीं थीं, वह कौन सा जानवर है ?","मदेः- अने, अजि! डूर कुलाम मेनलअः, इनिः चिलकानिः?"
"""A good way to make it clear that a salesperson won't follow you into the store is to make it clear that he or she won't be able to make a sale here.""","""कोई बिक्रीकर्ता दुकान में आपके पीछे न पड़े, इसका एक अच्छा तरीका यह स्पष्ट करना है कि वह यहाँ बिक्री नहीं कर पाएगा।""","जांन अकरिङतनिअः दोकान रे अमअः तयोम अलोकाए तइनका, नेअः रअः मियद् बुगिन तरिका नेअः साफा मेनअः चि इनिः नेतअः काए अकिरिङ दड़िअः। """
That one generation works hard to ensure a better future for the next.,कि एक पीढ़ी अगली पीढ़ी का बेहतर भविष्य सुनिश्चित करने के लिए कड़ी मेहनत करती है।,चि मियद पीढ़ी हिजु तन पीढ़ी रेअः बेहतर भविष्य सुनिश्चित मेनते कमिया।
Geeta: - Grandpa! Today I cleaned the house.,गीता:- दादाजी ! आज मैंने घर की सफाई की।,गीता :- सकिम हड़म ! तिसिङ अइञ् ओड़अः कोइञ् सफा केदा।
A thorn was put in the creature.,जीव में कांटे ठोक दिया।,लेः रे जानुम को गुतु किञ।
Ara is eating the haria brought by the two.,आरा दोनों का लाया हुआ हड़िया को खाता पी रहे हैं।,आरा तन किन आउ तद इलि को जोम नू तना।
"Jigilata - Right now, Kudapuriti has gone home, Ruth has gone.","जिकिलता-अभी तो, कुड़ापुरतिकी घर गयी हुई हैं, रूठ गयीं हैं।","जिकिलता - नाअ:, दा, कुड़ापुरतितेको ओड़अ: रेए सेनअकना; हंडा-तनाए।"
"""There are young people, unemployed, but we don't get the youth we need.""",""" नौजवान हैं, बेरोजगार हैं, लेकिन हमें जैसा चाहिए, वैसा नौजवान मिलता नहीं है।""","""दंगड़ा मेनअः कोअः, बेकार मेनअः कोअः, मेनदो अबु चिलका लगातिङा, एनका दंगड़ा को कबु नम जदा।"""
Gamcha to gamcha to bahut se gaamcha toh.,गमछा तो गमछा तो बिता से नापते हैं गमछा तो।,गमचा दो गमचा दो बिता तेबु जोकाएआः गमचा दो।
