English,Hindi,Santali
The Nillas are known for their traditional dress and jewelry that characterize their cultural differences.,भलल लग अपन परपरक वसतर और आभषण क लए जन जत ह ज उनक ससकतक ववधत क दरशत ह,ᱵᱷᱤᱞᱟᱞᱟ ᱦᱚᱲ ᱠᱚᱫᱚ ᱟᱠᱚᱣᱟᱜ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱞᱩᱜᱽᱲᱤ ᱟᱨ ᱜᱚᱭᱱᱟ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱩᱯᱨᱩᱢᱚᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱠᱚᱣᱟᱜ ᱞᱟᱠᱪᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱷᱮᱱᱮᱜᱟᱨ ᱮ ᱩᱫᱩᱜᱟ
New cages have been made for chickens to be safe and healthy and to grow eggs.,मरगय क लए नए पजर बनए गए ह तक उनक सरकष और सवसथय अचछ रह और अड क पदवर बढ,ᱥᱤᱢᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱣᱟ ᱠᱮᱧᱡᱽ ᱵᱮᱱᱟᱣ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱡᱟᱦᱟᱸᱛᱮ ᱩᱱᱠᱩᱣᱟᱜ ᱨᱩᱠᱷᱤᱭᱟᱹ ᱟᱨ ᱦᱚᱲᱢᱚ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱸᱱᱟ ᱟᱨ ᱵᱤᱞᱤ ᱨᱮᱭᱟᱜ ᱟᱨᱡᱟᱣ ᱵᱟᱹᱲᱛᱤᱜᱼᱟ
"While their parents have professors in land rights, four brothers and sisters have also received a higher education in Zaria Jia.","जबक उनक मतपत वरट म परफसर ह, चर भईबहन न भ जमय jamia म अपन उचच शकष परपत क ह","ᱡᱚᱠᱷᱚᱱ ᱟᱡ ᱟᱭᱳᱼᱵᱟᱵᱟ ᱵᱷᱮᱨᱤᱴᱤ ᱨᱮᱱ ᱯᱨᱚᱯᱷᱮᱥᱚᱨ ᱠᱟᱱᱟᱭ, ᱩᱱ ᱚᱠᱛᱚ ᱯᱩᱱᱭᱟ ᱵᱚᱭᱦᱟ ᱢᱤᱥᱨᱟ ᱦᱚᱸ ᱡᱟᱢᱤᱭᱟ ᱨᱮ ᱩᱥᱩᱞ ᱥᱮᱪᱮᱫ ᱠᱚ ᱦᱟᱛᱟᱣ ᱟᱠᱟᱫᱟ"
The day was definitely one of them.,दन थथ नशचत रप स उनम स एक ह,ᱫᱤᱱᱟ ᱛᱷᱟᱱᱛᱤ ᱱᱤᱦᱟᱹᱛ ᱜᱮ ᱚᱱᱟ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱱᱟ
The farmers together arranged in their fields the drebrels and tubes to save water and harvest enough.,कसन भइय न मलकर अपन खत म डरप इरगशन और टयबवल क वयवसथ क तक पन क बचत ह और फसल परयपत नम पए,ᱪᱟᱹᱥᱤ ᱵᱚᱭᱦᱟ ᱠᱚ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱟᱠᱚᱣᱟᱜ ᱵᱟᱹᱫ ᱨᱮ ᱰᱨᱤᱯ ᱥᱮᱪ ᱟᱨ ᱴᱤᱭᱩᱵ ᱠᱩᱧ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱫᱮᱡᱽ ᱠᱚ ᱠᱚᱨᱟᱣ ᱠᱮᱫᱟ ᱡᱟᱦᱟᱸᱛᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱟᱨᱡᱟᱣ ᱨᱮ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱚᱞᱟᱦᱮᱫ ᱧᱟᱢᱚᱜᱼᱟ
"The customer in Ber is often fond of fresh and biological products, so the farmers are gradually increasing the use of biological chemical products.","बजर म गरहक अकसर तज और जवक उतपद पसद करत ह, इसलए कसन धरधर रसयनक खद क जगह जवक खद क उपयग बढ रह ह","ᱵᱟᱡᱟᱨ ᱨᱮᱱ ᱠᱤᱨᱤᱧᱤᱭᱟᱹ ᱠᱚ ᱡᱟᱣᱜᱮ ᱛᱟᱯᱤᱥ ᱟᱨ ᱡᱚᱭᱵᱤᱠ ᱫᱩᱨᱤᱵ ᱠᱚ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ, ᱚᱱᱟᱛᱮ ᱪᱟᱹᱥᱤ ᱠᱚ ᱵᱟᱹᱭ ᱵᱟᱹᱭᱛᱮ ᱨᱟᱥᱟᱭᱚᱱᱤᱠ ᱥᱟᱨ ᱵᱚᱫᱚᱞᱛᱮ ᱡᱤᱵᱤᱭᱟᱱ ᱥᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱠᱚ ᱵᱟᱹᱲᱛᱤ ᱟᱠᱟᱫᱟ"
"If the cows ability is low, feeding is necessary.","अगर गय क दध दन क कषमत कम ह, त आहर म पषणयकत चर दन जरर ह","ᱡᱩᱫᱤ ᱰᱟᱹᱝᱜᱽᱨᱤᱭᱟᱜ ᱛᱳᱣᱟ ᱮᱢᱚᱜ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ ᱠᱚᱢ ᱛᱟᱦᱮᱸᱱᱟ, ᱮᱱᱠᱷᱟᱱ ᱡᱚᱢᱟᱜ ᱨᱮ ᱯᱩᱥᱴᱤ ᱡᱚᱢᱟᱜ ᱮᱢ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ"
"Its very satisfying, I give it a drink.","यह बहत हफ रह ह, म इस पन पल द","ᱱᱩᱭ ᱟᱹᱰᱤ ᱜᱮ ᱥᱟᱦᱮᱫ ᱮᱫ ᱠᱟᱱ ᱛᱟᱸᱦᱮᱫ, ᱤᱧ ᱱᱩᱭ ᱫᱟᱜ ᱤᱧ ᱧᱩᱣᱟᱭ ᱜᱮ"
Brothera had a good cook.,भज क अचछ स पकय थ,ᱩᱛᱩ ᱟᱹᱰᱤ ᱵᱮᱥ ᱛᱮ ᱤᱥᱤᱱ ᱞᱮᱱᱟ
Everyone who attends the home of Prospera is given food,परसत क घर उपसथत सभ लग क भजन करय जत ह,ᱠᱷᱟᱞᱟᱥᱟᱱ ᱚᱲᱟᱜ ᱨᱮ ᱥᱮᱴᱮᱨ ᱟᱠᱟᱱ ᱥᱟᱱᱟᱢ ᱠᱚ ᱜᱮ ᱡᱚᱢ ᱦᱚᱪᱚ ᱠᱚᱣᱟ
"When sowing new seed in the fields, it was seen that the soil is dry, so the soil needs to be low and the plants get a time to grow slowly.","खत म नए बज बत समय यह दख गय क मटट नमयकत ह, इसलए सचई क आवशयकत अभ कम ह और पध क धरधर बढन क समय मलग","ᱱᱚᱣᱟ ᱛᱷᱚᱠ ᱨᱮ ᱫᱚ ᱱᱚᱣᱟ ᱥᱟᱛᱟᱢ ᱪᱮᱛᱟᱱ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱮ, ᱱᱤᱛᱚᱜ ᱫᱚ ᱱᱚᱝᱠᱟᱱ ᱢᱤᱫ ᱯᱚᱛᱷᱟ ᱠᱟᱱᱟ ᱡᱟᱦᱟ ᱨᱮ ᱱᱚᱣᱟᱫᱚ ᱥᱩᱵᱤᱫᱷᱟ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱹᱱᱩᱜᱼᱟ"
"In Britain and Ireland, the film earned 308,350 from 20 screens after five weekends.","बरटन और आयरलड म, फलम न पच सपतहत क बद 20 सकरन स 308,350 क कमई क","ᱵᱨᱤᱴᱮᱱ ᱟᱨ ᱟᱭᱟᱨᱞᱮᱱᱰ ᱨᱮ, ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱫᱚ ᱢᱚᱬᱮ ᱦᱟᱯᱛᱟ ᱢᱩᱪᱟᱹᱫ ᱨᱮ ᱒᱐ ᱜᱚᱴᱟᱝ ᱯᱚᱨᱫᱟ ᱠᱷᱚᱱ ᱓,᱐᱘,᱓᱕᱐ ᱴᱟᱠᱟᱭ ᱟᱨᱡᱟᱣ ᱞᱮᱫᱟ"
Whats this wood?,य लकड कस जगल क ह?,ᱱᱚᱶᱟ ᱠᱟᱴᱷ ᱫᱚ ᱚᱠᱟ ᱵᱤᱨ ᱨᱮᱭᱟᱜ ᱠᱟᱱᱟ ?
"The PACS is being enabled with 25 different activities, so that the farmers can get a maximum benefit and improve their lives.","PACS क 25 अलगअलग कम स जडकर इनह सकषम बनय ज रह ह, जसस कसन क अधकतम लभ मल सकग और उनक जवनसतर म सधर हग","PAC ᱠᱚ ᱒᱕ ᱜᱚᱴᱟᱝ ᱵᱷᱮᱜᱟᱨ ᱠᱟᱹᱢᱤ ᱠᱚ ᱥᱟᱶ ᱥᱮᱞᱮᱫ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱠᱚ ᱥᱚᱢᱵᱷᱚᱵᱚᱱᱟ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱪᱟᱹᱥᱤ ᱠᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱞᱟᱵᱷ ᱠᱚ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱩᱱᱠᱩᱣᱟᱜ ᱡᱤᱭᱚᱱ ᱨᱮᱭᱟᱜ ᱢᱟᱹᱱ ᱠᱚ ᱩᱛᱱᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ"
"Instrumental India India has encouraged the initiatives, such as India in India and India, to promote the development andization of the Indian industry.","डजटल इडय न मक इन इडय और सटरटअप इडय जस पहल क परतसहत कर, भरतय उदयग क वकस और नवचर क बढव दय ह",ᱰᱤᱡᱤᱴᱮᱞ ᱤᱱᱰᱤᱭᱟ ᱫᱚ ᱢᱮᱠ ᱤᱱ ᱤᱱᱰᱤᱭᱟ ᱟᱨ ᱥᱴᱟᱨᱴᱚᱯ ᱤᱱᱰᱤᱭᱟ ᱞᱮᱠᱟᱱ ᱮᱛᱚᱦᱚᱵ ᱠᱚ ᱮᱥᱮᱨ ᱠᱟᱛᱮ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱟᱝ ᱟᱨ ᱱᱟᱶᱟᱱ ᱠᱚ ᱮᱛᱚᱦᱚᱵ ᱟᱠᱟᱫᱟ
And he buried him in the valley in the land of Moab over against Bethpeor and no man knoweth of his sepulchre unto this day.,और उस न उस मआब क दश म बतपर क समहन एक तरई म मटट द. और आज क दन तक कई नह जनत क उसक कबर कह ह,ᱩᱱᱤ ᱫᱚ ᱢᱳᱣᱟᱵ ᱫᱤᱥᱚᱢ ᱨᱮ ᱵᱮᱛᱯᱳᱨ ᱥᱟᱢᱟᱝ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱞᱟᱛᱟᱨ ᱴᱚᱴᱷᱟ ᱨᱮ ᱦᱟᱥᱟ ᱮ ᱮᱢ ᱠᱮᱫᱟ ᱟᱨ ᱛᱮᱦᱮᱧ ᱦᱟᱹᱵᱤᱡ ᱩᱱᱤᱭᱟᱜ ᱛᱚᱯᱟ ᱫᱚ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱚᱱᱟ ᱫᱚ ᱚᱠᱚᱭ ᱦᱚᱸ ᱵᱟᱝ ᱠᱚ ᱵᱟᱰᱟᱭ ᱟᱠᱟᱫᱟ
It seriously injured Ramini.,इसम रमनवस गभर रप स घयल ह गय,ᱱᱚᱶᱟ ᱨᱮ ᱨᱟᱢᱱᱤᱣᱟᱥ ᱟᱹᱰᱤ ᱥᱚᱠᱛᱚᱭ ᱜᱷᱟᱹᱞ ᱮᱱᱟ
So my farmer who faces personal problems has had to pass through adversity,तक मर कसन क ज वयकतगत जवन म समसयए झलन पडत ह मसबत स गजरन पड ह,"ᱚᱱᱟᱛᱮ ᱤᱧᱨᱮᱱ ᱪᱟᱹᱥᱤ ᱫᱚ ᱟᱡᱟᱜ ᱡᱤᱭᱚᱱ ᱨᱮ ᱡᱟᱦᱟᱸ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱠᱚ ᱥᱟᱢᱟᱝ ᱫᱟᱯᱨᱟᱢ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ, ᱚᱱᱟ ᱫᱚ ᱟᱹᱰᱤ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱛᱟᱞᱟᱛᱮ ᱪᱟᱞᱟᱣ ᱦᱩᱭ ᱟᱠᱟᱱᱟ"
"He caught the Batman and he was about to kill him, but he got confused with Mr. Freer to argue about who is the right to kill that rival fight.",उसन बटमन क पकड लय और वह उस लगभग मरन ह वल थ लकन वह मसटर फरज स इस बहस म उलझ गय क उस नकबपश जहद क मरन क हक कसक ह,ᱩᱱᱤ ᱫᱚ ᱵᱮᱴᱢᱮᱱ ᱮ ᱥᱟᱵ ᱞᱮᱫᱮᱭᱟ ᱟᱨ ᱩᱱᱤ ᱫᱚ ᱩᱱᱤ ᱜᱚᱡ ᱞᱟᱹᱜᱤᱫ ᱛᱮᱜᱮᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱢᱮᱱᱠᱷᱟᱱ ᱩᱱᱤ ᱢᱤᱥᱴᱟᱨ ᱯᱷᱨᱤᱡᱽ ᱥᱟᱞᱟᱜ ᱱᱚᱣᱟ ᱨᱟᱯᱟᱪᱟᱜ ᱨᱮᱭ ᱡᱚᱲᱟᱣ ᱞᱮᱱᱟ ᱡᱮ ᱩᱱᱤ ᱢᱚᱪᱟ ᱦᱚᱨᱚᱜ ᱡᱤᱦᱟᱫᱤ ᱜᱚᱡ ᱨᱮᱭᱟᱜ ᱟᱹᱭᱫᱟᱹᱨ ᱚᱠᱚᱭ ᱴᱷᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ
Now the chilis grow up in all India.,अब मरच पर भरत म उगई जत ह,ᱱᱤᱛᱚᱜ ᱢᱟᱨᱤᱪᱤ ᱜᱚᱴᱟ ᱵᱷᱟᱨᱚᱛ ᱨᱮ ᱪᱟᱥ ᱦᱩᱭᱩᱜᱼᱟ
"The government, with the government East India, is building awareness about this plan.",मतरलय परव भरत सहत पर दश म जनजतय आबद क छतर क बच इस यजन क बर म जगरकत बढ रह ह,ᱢᱚᱱᱛᱨᱚᱠ ᱫᱚ ᱯᱩᱨᱩᱵ ᱵᱷᱟᱨᱚᱛ ᱥᱟᱶᱛᱮ ᱜᱚᱴᱟ ᱫᱤᱥᱚᱢ ᱨᱮ ᱩᱯᱚᱡᱟᱹᱛᱤ ᱜᱟᱛᱟᱠ ᱨᱮᱱ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱚ ᱛᱟᱞᱟᱨᱮ ᱱᱚᱣᱟ ᱯᱚᱱᱛᱷᱟ ᱵᱟᱨᱮᱛᱮ ᱪᱤᱨᱜᱟᱹᱞ ᱮ ᱯᱟᱥᱱᱟᱣ ᱮᱫᱟ
Not only the Ethiopian council but also the Convention will be illegal.,न कवल शर कउसल बलक सवधन भ अवध ह जएग,"ᱥᱩᱢᱩᱝ ᱥᱩᱨᱟ ᱠᱟᱣᱩᱱᱥᱤᱞᱤᱝ ᱫᱚ ᱵᱟᱝ, ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱦᱚᱸ ᱵᱮᱼᱢᱟᱱᱚᱛ ᱦᱩᱭᱩᱜᱼᱟ"
"Despite the way you used to do, you mocked me.",जस तरह स करन क बवजद तम मझस मजक करत थ,ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟ ᱛ ᱠᱟᱹᱢᱤ ᱠᱟᱛᱮ ᱨᱮᱦᱚᱸ ᱟᱢ ᱤᱧ ᱥᱟᱶ ᱮᱢ ᱛᱷᱩᱛᱤᱼᱛᱟᱢᱥᱟᱭ ᱛᱟᱦᱮᱸᱫ
The judge and the former prime minister the immortal Tribaly dedicated the Bat to the court of the judge with the wifes Besubor and the session.,सप वधयक एव परव मतर अमरमण तरपठ न पतन मधमण क सथ बहसपतवर क जल एव सतर नययधश क अदलत म समरपण कर दय .,"ᱮᱥᱯᱤ ᱨᱮᱱ ᱵᱤᱫᱷᱟᱭᱚᱠ ᱟᱨ ᱟᱭᱟᱨ ᱢᱚᱱᱛᱨᱤ ᱚᱢᱚᱨᱢᱚᱬᱤ ᱛᱨᱤᱯᱟᱴᱷᱤ, ᱟᱡ ᱨᱮᱱ ᱠᱚᱲᱟ ᱢᱫᱷᱩᱢᱚᱱᱤ ᱥᱟᱶᱛᱮ, ᱪᱟᱸᱫᱳ ᱢᱟᱦᱟ ᱦᱤᱞᱳᱜ ᱦᱚᱱᱚᱛ ᱟᱨ ᱥᱮᱥᱚᱱ ᱡᱡᱽ ᱟᱜ ᱜᱟᱲ ᱨᱮ ᱟᱡᱛᱮ ᱠᱚ ᱥᱚᱫᱚᱨ ᱞᱮᱱᱟ"
"No! Nono, I like it. Thank you.","नह! नहनह, म इस पसद करत ह. धनयवद.","ᱵᱟᱝᱟ ! ᱵᱟᱝᱟᱼ ᱵᱟᱝᱟ, ᱤᱧ ᱱᱚᱣᱟᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱥᱟᱨᱦᱟᱣ"
"Oh, God, youre the true God.",सचन दव बरमन.,ᱥᱚᱪᱤᱱ ᱫᱮᱵ ᱵᱚᱨᱢᱚᱱ
"Grandma suggested her a plan, hide yourself in this drum.","दद म न उस एक उपय सझय, अपन आपक इस ढलक म छप ल","ᱜᱚᱲᱚᱢ ᱟᱭᱳ ᱫᱚ ᱩᱱᱤ ᱢᱤᱫ ᱩᱯᱟ.ᱭ ᱮ ᱵᱟᱛᱞᱟᱣ ᱟᱫᱮᱭᱟ, ᱟᱢ ᱫᱚ ᱟᱢ ᱛᱮ ᱱᱚᱣᱟ ᱰᱷᱩᱞᱠᱤ ᱨᱮ ᱩᱠᱩᱱ ᱢᱮ"
"With water filled in the village pool, the farmers around the world can easily use it for the rose and there would be no water problem in summer.",गव क तलब म पन भर जन स अब आसपस क कसन सचई क लए आसन स इसक उपयग कर सकग और गरमय म पन क समसय नह हग,ᱟᱹᱛᱩ ᱨᱮᱭᱟᱜ ᱯᱩᱠᱷᱨᱤ ᱨᱮ ᱫᱟᱜ ᱯᱮᱨᱮᱡ ᱞᱮᱱᱠᱷᱟᱱ ᱱᱤᱛᱚᱜ ᱥᱩᱨ ᱥᱩᱯᱩᱨ ᱨᱮᱱ ᱪᱟᱹᱥᱤ ᱠᱚ ᱟᱞᱜᱟ ᱛᱮ ᱱᱚᱶᱟ ᱫᱟᱜ ᱯᱟᱴᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱵᱮᱣᱦᱟᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱥᱤᱛᱩᱝ ᱫᱤᱱ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱟᱝ ᱦᱩᱭᱩᱜᱼᱟ
What does it mean to be a problemd,समसयगरसत क कय अरथ ह,ᱟᱱᱟᱴ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱪᱮᱫ ᱠᱟᱱᱟ?
