English,Hindi,Gondi
The child will be playing with toys.,बच्चा खिलौनों से खेल रहा होगा।,पीला कर्रसनंग बिडारिंग सूदा कर्रससोर मंदर होही।
I won't keep many secrets in my life.,मैं अपने जीवन में बहुत रहस्य नहीं रखूँगा।,नन्ना आपुना जिनगी ते कुबेय राज तुन इर्रोन
"Let's eat papaya, let's play tabla.","चलो पपीता खाएँगे हम, तबला खूब बजाएँगे हम।",देट पोपोयंग तिंदकट माट तबलंग कुबैय नेकीहकट माट
The blank portion of the wall is also completed by placing wood over the door and applying mud over it.,दरवाजा के ऊपर लकड़ी लगाकर उसके ऊपर मिट्टी चढ़ाकर दीवार के रिक्त भाग को भी पूरा कर लिया जाता है,हर्र दा पोर्रो (चौकट) मरा उपीहच ताना पोर्रो तोड़िय तोड़िय तर्रिहच गूठ ता पिसले बूका नुंग गला निड़चाना आयता
Creativity is key in Indian wildlife photography.,भारतीय वन्य जीवन फोटोग्राफी में रचनात्मकता का महत्व है,भारतीय वन्य जीवांग न फोटोग्राफी ते रचनात्मकता त महत्व आन्द
The tsunami management seminar was cancelled due to the water.,पानी के कारण सुनामी प्रबंधन सेमिनार रद्द हो गया था।,पिर्र दा मारे सुनामी आवरेह कियन्ना हुडिला जलसा अटके मास मत्ता।
"Women's participation in sanitation, education, and health campaigns has increased.","स्वच्छता, शिक्षा और स्वास्थ्य अभियानों में महिला भागीदारी बढ़ी है।","स्वच्छता, शिक्षा अन स्वास्थ्य अभियान ते मुयताह न हिस्सा बेरसता।"
Owner,मालिक,राजला
She was writing.,वह लिख रही थी।,अद कोट्स सोर मन्ता।
It is the auspicious occasion of the birth anniversary of Sardar Vallabhbhai Patel.,सरदार वल्लभभाई पटेल जी की जन्म-जयन्ती का पुण्य अवसर है,सरदार वल्लभभाई पटेल जी ना जनुम दिया ता पुण्य अवसर मंता।
E-commerce services have grown under Digital India,डिजिटल इंडिया के तहत ई-कॉमर्स सेवाएं बढ़ी हैं,"डिजिटल इंडिया, त जरया ते ई-कामर्स सेवांग बर्सा तंग"
Shastri Ji established equality and justice in society.,शास्त्री जी ने समाज में समानता और न्याय की स्थापना की,शास्त्री जी बुमकाल ते बराबर ते मंदना अन कुड़हले मानेयत्क समले नीवाय कियना तुन तापना कितुर।
The people here were interested in music and dance.,यहां के लोग संगीत और नृत्य में रुचि रखते थे,इगाडोर मानेय रूजुम अन एन्दना ते गिर्रदा आन्दुर।
There are two types of boras (black and white).,बोड़ा दो प्रकार (काला व सफेद) की मिलती है।,बोड्डंग रण्ड लेहकाडंग (कारियल अन पाण्डरी) जात बोडडंग अन नीरा बोडडंग पुटायतंग।
The library makes life easier.,पुस्तकालय जीवन को सरल बनाता है।,कागेत डेरा ते जिगी तुन सैयरी पंडायता।
Yesterday I was correcting a mistake.,कल मैं एक गलती सुधार रहा था।,निन्ने नन्ना उंद गलती बीस्सवार कीसोर मतोना।
We need to have a proper policy regarding the differences of Karak.,कराक के भेदों को लेकर हमें सही नीति बनाने की जरूरत है।,कारेन ता परेकिनुंग काजे माकुन सतेय नीतिंग पंडाना ता जरवोत मंता।
Education helps children become self-reliant.,शिक्षा बच्चों को आत्मनिर्भर बनने में मदद करती है,पड़हे कियना पीलानुंग आपुना कालदे नितला संग हिययता।
"Woman makes Maggi with milk, people say'it is more dangerous than poisoned kheer '. Watch Video","महिला ने बनाई दूध डालकर Maggi, लोग बोले- 'ये जहर वाली खीर से भी खतरनाक...' देखें VIDEO","मुयताड़ पाल तास पण्डन गैगी, सब लोर इतुर इद विक बिति खीर हुडाह विडियो।"
Do you also plant chickpeas?,भुजलिया भी बोते है?,भुजलिया वेन्डे उरसकीगतोड?
They will enjoy the snowfall.,वे बर्फबारी का आनंद लेंगे।,बेर आदुरकना गिर्रदा कलियानुर ।
"However, they have been used in Indian mathematics for thousands of years.","लेकिन, भारतीय गणित में इनका प्रयोग हजारों वर्षों से होता आ रहा है।",मति भारतीय गनित ते इदेना प्रयोग हजारों वर्षानह आसोर वाला।
Longitude lines show the different countries to the east and west.,देशांतर रेखाएँ पूर्व और पश्चिम के विभिन्न देशों को दिखाती हैं,देशांतर रेखंग पोर्रो अन दोड़ वडकंग ने अलगे अलगे देशुम तुन हूड़हयता ।
The film Piku redefined family relationships.,फ़िल्म Piku ने पारिवारिक रिश्तों को नए सिरे से परिभाषित किया,फिल्म च्पान ते गुंदा पारिवारिक रिश्ताने पूना तरीका ते परिभाषित कियाना।
One medical college to be set up in every three Lok Sabha constituencies.,हर तीन लोकसभा क्षेत्रों के बीच एक मेडिकल कॉलेज बनाने से,सपय मँूण्ड लोक सभा कोलान ते नढुम ऊँद मेडिकल कालेज पडला
The municipality organises events for local art and culture.,नगर पालिका स्थानीय कला और संस्कृति के लिए कार्यक्रम आयोजित करती है,नगर पालिका नार्रता कला अन बानी ता सेती जलसा लेहका कियान्तोर
There will always be a moving umbrella.,हरदम चलती छतरी तानती होगी।,बस्केय गला ताकतेक साता ताने कियता होती।
He taught us to be proud of our culture and roots,उन्होंने हमें अपनी संस्कृति और जड़ों पर गर्व करना सिखाया,ओर माकुन आपुना संस्कृति अन् हीरक् न प्रति साती तुन बरस हाना कियाना कर्रिहतुर
"Sometimes small efforts lead to big changes,","कभी-कभी छोटे प्रयास बड़े बदलाव का कारण बनते हैं,",हुडिलंग-हुडिलंग कोसितिने गला बसके तो बेरहंग-बेरहंग बदले मायतंग
Pilgrimage sites of India are the centre of both faith and tourism.,भारत के तीर्थ स्थल श्रद्धा और पर्यटन दोनों का केंद्र हैं।,भारत ता तीर्थ स्थान बिश्‍वास अन हूड़वालोरा रण्डो ना केन्द्र मन्तंग ।
The teacher writes down the words and makes the children talk.,शिक्षक शब्दो को लिखाकर बच्चो से जॉच करवाएॅ।,गुरूजी टप्पिंग कोटिहच पीलानुंग हूड़हीर।
So they show it by achieving even greater heights.,इसलिए वे और भी अधिक ऊंचाइयां हासिल करके इसे दर्शाते हैं,येर अन भी बेहरा मन्दाना डेरा वसूल कीश हुड़ाना।
Jain texts had a clear description of'Tattva'and'Atatva '.,जैन ग्रंथों में 'तत्त्व' और 'अतत्त्व' का स्पट वर्णन था,जैन ग्रंती ने बिडारिंग हिलवा ता कुड़ुहले वेहले मत्ता
I appreciate your views on this subject from all of you in the audience.,मैं आप सभी श्रोताओं से इस विषय पर आपके विचारों की सराहना करता हूँ।,नन्ना मीक सपोय केंजवालोर कुन इव बिचारिनुंग सहरेह कियातोना
Then they can be innumerable.,तब तो वे असंख्य भी हो सकते हैं,तो ओर गला आनप लेहका लक परवह आयनुंग
