English,Hindi,Bhili
"If you want to stick with the same brand, check to see if the company is discounting other models instead.",यदि आप एक ही ब्रांड के साथ बने रहना चाहते हैं तो जाँच लें कि क्या कंपनी इसके बजाय अन्य प्रतिरूपों पर छूट दे रही है।,अगर तमू एक ही ब्रांड ने साथे बणी रेखा करे से तेर जासं ले की काम्पनी दना थी बीजा रूपो मा सूट आलें से ।
Chant Bharat Mata Ki Jai with full force.,पूरी ताकत से बोलिए भारत माता की जय।,"पूरा जोर ही बोलो ,भारत माता नी जय।"
"He visited the Marine Training Centre, Aerospace Hub and Precision Engineering Section.","उन्होंने समुद्री प्रशिक्षण केन्द्र, एयरोस्पेस हब और प्रेसिज़न इंजीनियरिंग अनुभाग का दौरा किया।",तिनायी समुद्री प्रशिक्षण केन्द्र एयरोस्पेस हब अन प्रेसिजन इंजिनयरिंग अनुभाग नो दैरो करयो।
The Prime Minister then launched the'Gram Uday Se Bharat Uday Abhiyan'at a public meeting in Mhow.,प्रधानमंत्री ने इसके बाद महू में आयोजित एक सार्वजनिक सभा में ‘ग्राम उदय से भारत उदय अभियान’ का शुभारंभ किया।,प्रधानमंत्री यी इनाने बाद महु मा भेळा थाईन एक सब नी हाते एक सभा मा ग्राम उदय थी भारत उदय अभियान नी शरूआत करी ।
"In the communes, several radical and controversial agricultural innovations were promoted at Mao's behest.","कम्यूनों में, माओ के इशारे पर कई कट्टरपंथी और विवादास्पद कृषि नवाचारों को बढ़ावा दिया गया।","कम्यूनो मा, माओ ना इशारा पर कई कट्टरपंथी अन विवादास्पद कृष नवाचार ने वधारो आलियो गयो।"
He called the police.,वहने पुलिस को बुलाया।,त्यो तरकडां ने बोलायो ।
"Further, to make the service opportunities of doctors in Central Armed Police Forces and Assam Rifles more attractive, policy guidelines have been issued regarding participation in postgraduate courses / short-term courses and fellowship / super speciality courses.","इसके अतिरिक्‍त, केन्‍द्रीय सशस्‍त्र पुलिस बलों और असम राइफल्‍स में चिकित्‍सकों के सेवा अवसरों को और अधिक आकर्षक बनाने के लिए स्‍नातकोत्तर पाठ्यक्रम/अल्‍पकालिक पाठ्यक्रम और फेलोशिप/ सुपर स्‍पेशियल्‍टी पाठ्यक्रमों में भाग लेने के बारे में नीतिगत दिशा-निर्देश जारी किए गए हैं।",इना थी बीजा केन्‍द्रीय सशस्‍त्र पोलिस अने असम राइफल्‍स या दागदार यी सेवा नो मोको मले अने वदु स्‍पालुबणावा हारू स्‍नातकोत्‍तर सोपडी मा/अल्‍पकालिक सोपडी मा अने फेलोशिप/सुपर स्‍पेशियल्‍टी सोपडीया मा भाग लेवा बदी सोपडीयुमा नीति मा नेम वताडिया से।
"Thematic workshops on Forest Rights Act, Livelihood, Scholarship, PM Janman, EMRS, Health and TRI projects were held under the Manthan Shivir.","मंथन शिविर के तहत वन अधिकार अधिनियम, आजीविका, छात्रवृत्ति, पीएम जनमन, ईएमआरएस, स्वास्थ्य और टीआरआई परियोजनाओं पर विषयगत कार्यशालाएं आयोजित की गईं।",मंथन शिविर में वन अधिकार अधिनियम आजीविका छात्रवृत्ति पीएम जनमन इएमआरएस स्वास्थ अने टीआरआई परिओजना उपर विषयगत कार्यशालाओ आयोजित करी।
"Even in Kharpa, the village of the deceased, the survey has not been done.",मृतक के गांव खारपा में भी सर्वे नहीं हुआ है ।,मरवा वाळा ना गाम खारपा मा भी  सर्वे नी थायो से।
And I believe that a country whose children are so aware and committed to cleanliness will continue to be clean.,और मुझे विश्वास है जिस देश का बालक इतना सजग हो' स्वच्छता के लिए प्रतिबद्ध हो वह देश स्वच्छ होकर रहेगा। गंदगी के प्रति नफरत पैदा होकर रहेगी।,अनेमने विश्वास से जिना देह ना सोरा ऐतरा जाणे से साफसफाई ने लिये वचन मा होय वो देंहं साफ सफाई थई ने रेहवाना ।
A National Investigation Agency court on Wednesday sentenced Bhavesh Patel and Devendra Gupta to life imprisonment in the Ajmer Dargah blast case,राष्ट्रीय जांच एजेंसी की एक अदालत ने अजमेर दरगाह विस्फोट मामले में बुधवार को भवेश पटेल और देवेंद्र गुप्ता को आजीवन कारावास की सजा सुनाई,देहनी जांच एजेंसी नी एक कोरट मा अजमेर दरगाह विस्फोट मामला मा बुधवारे भवेश पटेल अन देवेन्द्र गुप्ता पण जनम भर नी कारावास नी सजा हमळावी।
"Other countries adopted the border, which until then was used only in Russia.","अन्य देशों ने सीमा को अपनाया, जो तब तक केवल रूस में उपयोग किया जाता था।","बीजा देहों हीं सीमा ने अपनावी, ज्ये तेर हुदी खाली रुस मां उपयोग कर्यु जातु हुतु ।"
He started sobbing.,वह खड़खड़ाने लगा।,त्यो उबळई करवा लाग्यों।
What was Dia thinking?,दीया अपने मन में क्‍या सोचने लगा?,दिवां आपडा मन मा हु सोचवा लाग्‍यो ।
The first combined rail / road bridge over the Brahmaputra River was built at Saraighat.,ब्रह्मपुत्र नदी पर पहला संयुक्त रेल/सड़क पुल सरायघाट में बनाया गया था।,ब्रह्मपुत्र नंदीपर पेहलो भेळों रेल अन सड़कपुर सराय घाट नी तां बणांयो हतो।
"In the year 1959, a special organization called Central Medicinal Plants Organization of India (CIMPO) was formed.",वर्ष 1959 में केन्द्रीय भारत औषध पादप संगठन ( सिम्पो) नामक एक विशेष संगठन बनाया गया ।,वरेह 1959 मा केन्द्रीय  सरकार दवावाळा पौदा पादप संगठन नाम नो ख् एक एक खास संगठन वणा यो ग्यो।
"Brothers and sisters, Good governance is also necessary for Surya.","भाइयों और बहनों, सूर्य के लिए सुशासन भी आवश्यक है।","भायो अने बेनो, दन हारू असळ राज पण जरूरी से।"
"And when Modi has a guarantee, you know what that guarantee is.",और जब मोदी की गारंटी होती है ना तो आप जानते हैं वो गारंटी क्या होती है।,अने जेरे मोदी नी गारंटी रे से ने तेर तमु जाणों से त्ये गारंटी हुं थाय से ।
"Thus, the supply cost of ethanol at OMC depots to the supplier is around ₹49 per litre.","इस प्रकार, आपूर्तिकर्ता को ओएमसी डिपो पर इथनॉल की आपूर्ति लागत लगभग 49 रुपए प्रति लीटर पड़ती है।","आनी रीते, आपूर्तिकता ने ओएमसी डिपो पर इथनॉल नी आपूर्ति लागत लगावगी 49 रुपया प्रति लीटर पड़ता से ।"
The agreement will facilitate easier visa access for Maldivian nationals and their families visiting India for medical treatment.,इस समझौता से भारत में इलाज के लिए आने वाले मालदीव के नागरिकों और उनके परिजनों को आसानी से वीजा प्राप्‍ति में सहायता मिलेगी।,ऐना हमजोतरा थी भारत मा इलाज हारू आवा वाला मालदीव ना नागरिको अने इना परिवार वाळा ने वीजा लेवामा मदत मळहे।
"At this time, Alauddin Jalaluddin did not assert his authority over the previously occupied territories.",इस समय अलाउद्दीन जलालुद्दीन ने पहले कब्जा किए गए क्षेत्रों पर अपना अधिकार नहीं दिया।,इना वखत अलाउद्दीन जलालुद्दीन यीं पेलखां कब्जा करेली जगयानो उपर हक नी आल्यो।
"According to media reports, there is peace and normalcy in Jammu and Kashmir.","मीडिया रिपोर्ट्स के मुताबिक, जम्मू कश्मीर में शांति और सामान्य स्थिति है।",पेपर वाळा ना हिसाब ना अनुसार जम्मुकश्मीर मा शांती असल से खबर से।
"An AAP insider said, ""We have established a network with people in these localities through mohalla clinics, free electricity and schools, which has proved to be beneficial for them.","AAP के एक अंदरूनी सूत्र ने कहा, ‘हमने मोहल्ला क्लीनिकों, मुफ्त बिजली और स्कूलों के माध्यम से इन इलाकों में लोगों के साथ एक नेटवर्क स्थापित किया है, जो उनके लिए फायदेमंद साबित हुआ है।","AAP ना एक अंदरूनी सूत्र हीं किदु,' हमुहीं मोहल्ला क्लीनिकों, मोफत लाईट अने स्कूलों ना माध्यम थी इना इलाकों मां लोगों नी हाते एक नेटवर्थ स्थापित कर्यो से, जी तिहुना हारू फायदेमंद साबित थायो से ।"
"And he built strongholds in Judah, because there was good habitation in the land. And he had no war against anyone in those years, because the LORD had given him rest.","और उसने यहूदा में गढ़ नगर बसाया, क्योंकि देश में अच्छी रहवाली थी। और उसे उन वर्षों में किसी से लड़ाई नहीं करनी पड़ी क्योंकि यहोवा ने उसे आराम किया था।",अन तिनायी यहूदा मां गढ नगर वसाडयू केम की देह मां असल रेवा वाली हती अन तिनायी तीना वरहू मां कइना थी लड़ाई नी करवी पडी केमकी यहोवा यी तिन आराम करयो हतो।
"So, all these efforts, which are responsive, result in that.","इसलिए, ये सभी प्रयास, जो उत्तरदायी होते हैं, उनका परिणाम होता है।","इना हारु, या बदी कोसिस, ज्ये उत्तरदायी होय से, तिहुनों परिणाम होय से।"
"Moreover, the investigation is at an advanced stage.","इसके अलावा, जांच अग्रिम चरण में है.",इना थी बाद जांस अगळी आवा वाळा मां से।
Organically mixing neem oil with water and spraying it with a spray machine gives a lot of benefit.,आर्गेनिक तौर पर नीम के तेल को पानी में मिलाकर स्प्रे मशीन से छिड़काव करें तो काफी फायदा मिलता है ।,आपडा घेर नु खातर अन लिमडा नु तेल ने भेळु  करीन मशीन छिडकावा पर घणो फायदो मसे से।
"""A detailed programme will be released soon,"" he said.","उन्होंने कहा, ‘‘शीघ्र ही एक विस्तृत कार्यक्रम जारी किया जाएगा।",तिनायी केदु उत्वाले एक घणो मोटो कारयकरम परोगराम सलाडवा करयू जाय ।
He also appreciated the role of the Indian diaspora in contributing to the US economy.,उन्होंने प्रवासी भारतीयों की अमेरिकी अर्थव्यवस्था में योगदान की भूमिका की सराहना भी की।,इहुयी भारत ना परूणा थायला भारत ना अमेरीकी रूपया नी ताळमेल मा फाळा मा भूमिका नी असल पण केदु।
"Similarly, the work of laying gas pipelines in the country is developing city gas distribution systems in many cities.","ऐसे ही देश में गैस पाइपलाइन बिछाने का जो काम हो रहा है, उससे कई शहरों में सिटी गैस डिस्ट्रिब्यूशन सिस्टम डवलप हो रहा है।",ऐवस देह मा पाइप लेण पाथरवा नु काम थाई रयू से । तिनमा घणा घेरु मा सिटी गैस डिस्धिब्यूशन सिस्टम उवलप थाईरन से।
The two leaders discussed ways to enhance prosperity and mutual understanding between the two countries.,दोनों नेताओं ने दोनों देशों के बीच समृद्धि तथा आपसी सूझबुझ को बढ़ाने के तरीकों के बारे में विचार-विमर्श किया।,बैहु नेताओ ना बैहु देशो ना वसमा विकास अने मई मई एक बीजा नि हमज बढ़ावा नो तरीका ना बारा मा विसार विमश करयो
"In addition, Swiss non-bank loans and deposits of Indians decreased significantly by 80% between 2013 and 2017.","इसके अलावा, वर्ष 2013 से वर्ष 2017 के बीच भारतीयों के स्विस गैर-बैंक ऋणों और जमा में 80.2 प्रतिशत की उल्लेखनीय कमी आई है।",इना अलावा वर्ष 2013 अथी 2017 ना बीच भारतीयों ना स्विस गैर बैंक गहणो अने जमा मा 80.2 प्रतिशत नी उल्‍लेखनी कमी आवी।
"Our Sanjay Bhai is proving this right. Friends, I would like to discuss one more such work today. This work is being done in the Nilgiris of Tamil Nadu.","हमारे संजय भाई, इसी को सही साबित कर रहे हैं। साथियो, ऐसे ही एक और काम कि चर्चा आज करना चाहूँगा। ये काम हो रहा है तमिलनाडु के नीलगिरी में।",यो आपणे संजय भाई खरी वात करते लो कि ये वाते खरी से। ऐवीस वाता घणी हाल वाते करवी छे। अने काम भी थाई रो से त्‍यो तमिलनाडू ना नीलगिरी गाम मा होवी रियो है
"Floor ball, an indoor team sport, is a type of floor hockey that is gaining popularity in India.","फ्लोर बॉल, एक अंदर खेला जाने वाला टीम खेल, एक प्रकार का फ्लोर हॉकी है जो भारत में लोकप्रियता हासिल कर रहा है।","फ्लोर बॉल, एक मांय रम्यो जावा वाळो टीम खेल, एक रीत नो फ्लोर हॉकी से जी भारत मां लोकप्रियता हासिल करी रया से ।"
They can now take advantage of the loan facility from the'Mudra Yojana'Every Indian is proud to know how the world is accepting yoga.,वे अब ‘मुद्रा योजना’ से ऋण सुविधा का लाभ उठा सकते हैं हर भारतीय को यह जानकर गर्व होता है कि कैसे दुनिया योग को स्वीकार कर रही है।,"त्‍यां हाव मुद्रा ओजनां थी ऋण ओजनां थी, ऋण सुविधा नों लाभ उठाड़वा सकयीं से, हर भारतीयों नों युं जाणींनें गर्व होय से कि कैवां दनियां योग नों स्‍वीकार करी रियां से।"
"A bench of Justices Indira Banerjee and Ajay Rastogi said, ""In Sharma's case, we have seen the social media post (meme) which was offensive in nature and that is why we asked him to apologise.""","सुनवाई करते हुए जज इंदिरा बनर्जी और अजय रस्तोगी की पीठ ने कहा कि 'शर्मा के मामले में हमने सोशल मीडिया में पोस्ट (मीम) देखा है, जो कि आपत्तिजनक प्रवृति का था और इसीलिए हमने उनसे माफी मांगने के लिए कहा।",हुणवाइ करता जायीन जज इंदिरा बनर्जी अने अजय रस्तोगही नी पीठ ये केदु कि शर्मा ने मामला मा सोशल मीडिया मा पोस्ट देखा जो कि आपतिजनक पृवति नो थो अने इना हारू अमुयें माफी मांगवा हारू केदु ।
"Global organizations: World Bank, Asian Development Bank, World Economic Forum, World LPG Organization, UNIDO, Biofutures Platform, International Civil Aviation Organization, International Energy Agency, International Energy Forum, International Renewable Energy Agency, World Biogas Association.","वैश्विक संगठन: विश्व बैंक, एशियाई विकास बैंक, विश्व आर्थिक मंच, विश्व एलपीजी संगठन, यूएनआईडीओ, बायोफ्यूचर्स प्लेटफॉर्म, अंतर्राष्ट्रीय नागरिक उड़ान संगठन, अंतर्राष्ट्रीय ऊर्जा एजेंसी, अंतर्राष्ट्रीय ऊर्जा मंच, अंतर्राष्ट्रीय नवीनीकरण ऊर्जा एजेंसी, विश्व बायोगैस एसोसिएशन।",विस्व ना मोटा देह नी बैक एसियाई विकास बैक विस्व आर्थिक मंच विस्व एलपीजी संगठन यूएनआईडीओ बायोफयूचर्स प्लेटफार्म अंतराष्‍टीयऊर्जा एजेंसी अंतराष्‍टीयऊर्जा मंच अंतराष्‍टीयनवीनीकरण ऊर्जा एजेंसी विस्व बायोगैस ऐसोसिएसन ।
"Additional instructions may be ""check expiration date"" or something similar - anything the shopper may need to keep in mind when selecting items.","अतिरिक्त निर्देश ""समाप्ति तिथि की जांच"" या कुछ इसी तरह के हो सकते हैं - कुछ भी जो दुकानदार को सामान चुनते समय ध्यान में रखने की आवश्यकता हो सकती है।",इने ही वदारे वताडवा नु खतम थावा नी दिनांक  नी जांच या कईक एवी तरे नू  थाई सके से थोडाक जी दुकानदार ने समान चुनती वखत ध्यान मा राखवा नी जरूरत थाई सके।
"The Nordic countries and India reiterated the need for reform of the Security Council and expansion of its membership, both permanent and non-permanent, to make it more representative, responsive, effective and proactive in line with the realities of the 21st century.","नार्डिक देशों और भारत ने सुरक्षा परिषद के सुधार और इसके स्थायी और अस्थायी दोनों ही तरह के सदस्यों की संख्या के विस्तार की आवश्यकता को दोहराया ताकि इसे 21वीं सदी की वास्तविकताओं के अनुरूप और अधिक प्रतिनिधित्वपूर्ण, उत्तरदायी, प्रभावी और सक्रिय बनाया जा सके।",नार्डिक देहो अने भारत ई सुरक्षा परिषद ने हुधर अने  तिहुने हमेशा अने थोडक समय  बैहु नी तरह ना सदस्यों नी आकडा ने फैलाव नी जरूरत ने दोहराई पणकी इनी 21 पीढ़ी नी खास तरे नो अनुरूप अने वदु प्रतिनिधित्व पूरा करवा वाळी जिम्मेदारी नो प्रभाव अने हमेशा बणाई जाई सके
"Our ancestors gave the message of ""Vasudhaiva Kutumbakam,"" which means ""the whole world is one family,"" and this spirit is lived by India even today.","हमारे पूर्वजों ने ""वसुधैव कुटुंबकम"" का संदेश दिया, जिसका अर्थ है – ""संपूर्ण विश्व एक परिवार है"", और इसी भावना को भारत आज भी जीता है।","हमारा डाहा-डाहा यीं वसुधैव कुटुम् बकम नी खबर आली, जिनों अरथ से की पुरी दनियां मां एक परिवार से अनें आज बी भारत हातें जीवी रियों से।"
"We have given a universal account number to our labourers to solve this problem and due to this, now their money will be transferred to the EPF fund wherever it goes.",हमने इस समस्या का समाधान करने के लिए एक Universal Account Number दिया हमारे मजदूरों को और उसके कारण अब उसके पैसे वो जहां जाएगा EPF का fund transfer होगा।,हमुञे इनी तकलीप नो हळ करवा हारू एक अन्तरराष्ट्रिय खाता नम्बर आलिया आपड़ा मजदूरोन अन तिनाना कारण हाव तिनाना रूपया तां जाहे जां EPF नो फंड ओहे।
"The salaries, gratuity, pension and allowances etc. of the High Courts are governed by the High Court Judges (Salaries and Conditions of Service) Act 1954.","उच्‍च न्‍यायालयों के वेतन, गेच्‍यूटी, पेंशन और भत्‍ते आदि उच्‍च न्‍यायालय न्‍यायाधीश (वेतन एवं सेवा शर्त) अधिनियम 1954 द्वारा प्रशासित होती हैं।",उच्‍च कोरट ने वेतनए गेच्‍यूटीए पेंशन अन भत्‍ते आदि उच्‍च कोरट मजिटर ;वेतन अन सेवा शर्तद्ध अधिनियम 1954 द्वारा प्रशासित होई से ।
"Union Finance Minister Pranab Mukherjee on Wednesday assured removal of excise duty on bicycles, hosiery, blankets, garments, sewing machines and other industrial products, considering the demand of various industrial bodies.","केन्द्रीय वित्त मंत्री प्रणव मुखर्जी ने बुधवार को अलग-अलग औद्योगिक संस्थाओं की मांग पर गौर करते हुए साइकिल, हौजरी, ब्लैंकेट्स, गारमेंट्स, सिलाई मशीनों व अन्य इंडस्ट्रियल प्रोडैक्ट्स से उत्पाद शुल्क हटाए जाने का आश्वासन दिया है।",केन्द्रीय  वित्त मंत्री प्रणव मुखर्जी यी बदवार नें दन नाळी नाळी उधांग वाळी संस्थाओं नी मांग पर गौर करतों जायन सायकिल हौजरी ब्लैकेट्स गारमेन्ट सिलाई मशीन अन बीजा विजळी ना सामान थी उत्पादन रूपिया हटाडवा नु केदु सें ।
"On the completion of 100 days of the second term of the Modi government, Union Minister Prakash Javadekar spoke about the achievements of the government.",मोदी सरकार के दूसरे कार्यकाल के 100 दिन पूरे होने पर केंद्रीय मंत्री प्रकाश जावडेकर ने सरकार की उपलब्धियों के बारे में बताया।,मोदी सरकार ना बिजा कार्यकाल ना 100 दन पुरा थावा पर केन्द्रिय मंत्री प्रकाश जावड़ेकर ऐं सरकार नी उपलव्धिमु ना बारा मा वताड़यु ।
The film was awarded for Best Art Direction and Best Composition at the 60th National Film Awards.,60वें राष्ट्रीय चलचित्र पुरस्कारों में इस फिल्म को सर्वश्रेष्ठ कला निर्देशन और सर्वश्रेष्ठ संयोजन के लिए सम्मानित किया गया।,60 वे राष्‍ट्रीय चलचित्र इलामों इलामों मां इनी पिक्‍सर ने असल कला निर्देशन अने फसल जोडावा हारू आदर वदारयू।
