English,Hindi,Mundari
"The rest that are not rocky, how is that, maybe good, right?","बाकी जो पथरीली नहीं हैं, वह कैसी है, शायद अच्छी होगी न?","सरेःए ओकोअचि दिरि बनोः, एना चिलिका मेनअः बुगिंन गेया जअः चि?"
"""I am from Tadwa, a small village next to Maghar, which is in Gorakhpur.""","""मैं मगहर के ही बगल में एक छोटे से गाँव टडवा, जो गोरखपुर में है, वहाँ का रहने वाला हूँ।""","आञ मगहर रअः जपअः रे मियद् हुड़िङ हातु टडवा, ओकोअः गोरखपुर रे मेनअः, एनतअः रअः तइन तनिइङ। """
"Filmmaker Kevin Smith praised the actor for his commendable work in ""Do The Right Thing.""",फिल्ममेकर केविन स्मिथ ने 'डू द राइट थिंग' में सराहनीय काम के लिए एक्टर की तारीफ की।,"फिल्म मेकर केविन स्मिथ दो ""डू द राईट थिंग"" रे बुगिन कमि नगेन अभिनेता की प्रशंसा केदा।"
"""As a result, the climate-tech sector is witnessing a huge boom.""","""परिणामस्वरूप, जलवायु-तकनीकी क्षेत्र में भारी उछाल देखा जा रहा है।""","""नेलेका ते, होयो दअः-तकनीकी टयद् रे बेसे कुड़िल लेलोः तना।"""
Improved access to education and health will be provided by setting up mobile medical units.,मोबाइल मेडिकल यूनिट की स्थापना करके शिक्षा एवं स्वास्थ्य तक बेहतर पहुंच प्रदान की जाएगी।,मोबाइल मेडिकल यूनिट रेअः स्थापना केआते शिक्षा ओड़ोः स्वास्थ्य तअः बुगिन तेबअः होबावःअ।
"The experience of listening to Malayali folk songs at sunrise amidst tea plantations in Munnar, Kerala, mesmerizes nature lovers.",केरल के मुन्नार में चाय बागानों के बीच सूर्योदय पर मलयाली लोकगीत सुनने का अनुभव प्रकृति प्रेमियों को मंत्रमुग्ध कर देता है।,केरल रेअः मुननार रे चा बगान को तला रे सिंगि तुरोः इमतङ मलायाली आनायुम-दुरङ अयुम रेअः अनुभव प्रकृति प्रेमी कोके रसिका गिड़ी तद् कोआ ।
Give me the date of this song coming out.,मुझे इस गाने की बाहर आने की तारीख़ दो।,आञ नेआ दुराङ राः बाहर हिजुः राः तारिकि ओमाइङमे।
"Someone will be engaged in spreading awareness about cleanliness and health, someone will be serving the society by becoming a doctor, engineer.","कोई स्वच्छता और स्वास्थ्य को लेकर जागरूकता फैलाने में जुटी होगी, तो कोई, डॉक्टर, इंजीनियर बन कर समाज की सेवा कर रही होगी |","ओकोए साफ-सफाई ओड़ोः स्वास्थ्य रआः बोर चिरुाल रआः जगर को उमि तना, दो ओकोए डॉक्टर, इंजीनियर बाई केयाते समाज रआः सेवा को रिकाए तना।"
"In return, these communities are entitled to intermediate benefits such as non-timber forest products and also share in timber profits from successful conservation.",इसके बदले ये समुदाय मध्य स्तरीय लाभ जैसे गैर-इमारती वन उत्पादों के हकदारी होते हैं तथा सफल संरक्षण से प्राप्त इमारती लकड़ी लाभ में भी भागीदार होते हैं।,नेआ रअः बदला रे ने समुदाय मध्य स्तर रअः फायदा चिल्का गैर-इयारती बिर उत्पाद कोरअ हकदार होबाओःआ ओड़ोः बनचवकन इमारती साहन को लाभ रेयो भागियोःआ।
"In Tamil Nadu, the rituals are traditionally conducted, people speak Nepali and wear lungi.","तमिलनाडु में रीति-रिवाज़ का आयोजन पारंपरिक ढंग से किया जाता है, लोग नेपाली बोलते हैं और लुंगी पहनते हैं।","तमिलनाडू रे रीति-रिवाज को पारंपरिक लेकाते होबाओः तना, होड़ो को नेपाली को जगर तना ओड़ोः लुंगी को तुसिङ तना।"
Umraon Singh was the Ghatwal of the valley between Ranchi and Ramgarh.,राँची से रामगढ़ के बीच की घाटी का घटवाल उमरांव सिंह ही थे।,राँची ओड़ोः रामगढ़ तला रेअः घाटी रेन घटवाल उमरांव सिंह गे तइकेना।
"Onam, the day of Onam, boat races, payasam distribution and folkloric performances by Kathakali artists are held at Kovalam Beach in Kerala.","केरल के कोवलम बीच पर ओणम के दिन नौका दौड़, पायसम वितरण और कथकली कलाकारों की लोककथा प्रस्तुति आयोजित होती है।","केरल रअः कोवलम समुद्र तट रे ओणम हुलंङ डोंगा निनिर, पायसम हटिङ ओड़ोः जातकली कलाकार कोअः आनायुम जगर को होबाओ तना।"
Many of India's states are themselves internally diverse.,भारत के अनेक राज्य खुद भी अंदरूनी तौर पर विविधताओं से भरे हैं।,भारत रेअः इसु राइज अपनो भितर-भितर रे बिपिनगा कोते पेरेअः कना।
"This year, the Olympic Games are going to be held in Tokyo.",इसी वर्ष टोकियो में ओलंपिक खेल आयोजित होने जा रहे हैं।,ने सिरमा गे टोक्यिो रे ओलंपिक इनुङ होबाओआ: ।
Close the socket.,सॉकेट को बंद कर दो।,साकेट हांडेद तम।
Awareness campaigns and workshops will be conducted in tribal areas through the Entrepreneurship Development Cell.,उद्यमिता विकास सेल के माध्यम से आदिवासी क्षेत्रों में जागरूकता अभियान और कार्यशालाएं आयोजित की जाएंगी।,उद्यमिता विकास सेल होरा ते आदिवासी इलाका रे जागरूकता अभियान ओड़ोः कार्यशाला को होबाओःआ।
And identify the five dynasties that formed the Delhi Sultanate.,और उन पाँच वंशों की पहचान कीजिए जिनसे मिलकर दिल्ली की सल्तनत बनी।,ओड़ोः एन मोड़े खूंट कोके उरूम कोपे ओकोनकोलो: जमाकेआते दिल्ली सल्तनत बइ लेना।
Look at yourself in the well water! With a big basket! With a belly like a cobra! With legs like bites! With legs like outstretched thumbs.,तुम भी स्वयं को कुआं के पानी में देख लो ! बड़ी टोकरी की तरह पेट वाली ! नगाड़े की तरह पेट वाली ! काटों की तरह पैरों वाली ! फैले हुए अंगूठों की पैरों वाली।,अमो डड़ि दअःरे लेलकोःमे! डकि लाइः! नगेरा लाइः! कड़द् कटा। दनदरचअः।
"I am assuming that you must promote it widely, spread it.","मैं मान रहा हूँ कि आप ज़रुर इसका व्यापक प्रचार करें, प्रसार करें।","आञ मनातिङ तना चि अपे जरूड़ु नेअः रअः इसु मरङ टांव रे प्रचार रेका , पसरवेका।"
"""May all of you who have worked hard and excelled in the race for life, and may you all serve your country and your country, do so.""","""भारत के जो लोग अपने परिश्रम और प्रतिभा से जीवन की दौड़ में आगे निकल सके हैं  साथ ही, आप सब अपने जन्म-स्थान और देश की जो भी सेवा कर सकते हैं, अवश्य कीजिए।""","भारत रेन ओको होड़ोको अकोअः मेहनइति ओड़ोः प्रतिभा ते जिनिद रेअः सेसेन रे अयर तेको उड़ुङ दड़िआ तना सोंगे गे, अपे अपेअः जोनोम टयद् ओड़ोः दिसुम रअः ओकोनअः गे सेवा पे दड़िआ, एना रिकाएपे। """
"Therefore, their poison should be cut off as soon as possible.",इस लिए उनका विषपानी शीघ्र ही काटना चाहिए।,एनामेनते इनिअः रनु दअः सेकेड़ागे कटव लगतिङा।
He is saying a big thing.,उसे ही भारी बात बता रहे हैं।,एनागे हमबल कजि-लिङ मेतमतना ।
"Friends, For decades, the society which was made to wait for long to meet its small needs, which was neglected, is now making continuous efforts to make it self-reliant.","""साथियों, दशकों से जिस समाज को, उसकी छोटी-छोटी आवश्यकताओं की पूर्ति के लिए लंबा इंतजार करवाया गया, उसकी उपेक्षा की गई, अब उसको आत्मनिर्भर बनाने के लिए निरंतर प्रयास किया जा रहा है।""","सोंगेको, जुउगु-जुउगु आते ओको समाज के, एना रअः हुपड़िङ-हुपड़िङ जरुड़ु कोरेअः पुरव मेनते जिलिङ तंगि रिका कना, एना रअः हिलङ केदा, नअः एना के आत्मनिर्भर बबइ मेनते निरंतर कोसिस रिकाओ तना। """
"The freedom fighter who used to get 25,000 rupees earlier, will now get 30,000 rupees.","जिस स्वतंत्रता सेनानी को अगर पहले 25 हजार मिलते थे, तो अब उसको 30 हजार रुपये मिलेंगे।","ओकोन स्वतंत्रता सिपई को जुदि सिदाते 25 हजार नमा तइकेना, तोबे नअः इनकु 30 हजार टका नमोगा।"
Raigad - After hiding he would have taken rest somewhere.,रइगड़ा - छिप जाने के बाद कहीं पर आराम करता होगा शायद।,रइगड़ा - दनङएनजनते जा तअःरेदोए रुड़ुनतना जाअः।
Distributed ledger and block chain technology has the potential to provide solutions to many of the challenges in the financial sector in the BRICS countries.,डिस्‍ट्रीब्‍यूटेड लेजर एंड ब्‍लॉक चेन टेक्‍नोलॉजी में ब्रिक्स देशों के वित्‍तीय क्षेत्र में मौजूद तमाम चुनौतियों का समाधान मिलने की संभावना है।,हनाटिङकन लेजर ओड़ोः ब्‍लॉक चेन टेक्नोलॉजी रे ब्रिक्स दिसुमकोअः खुरजि टयद् रे मेनअः सोबेन चुनौतीको रअः उपाय नमोः रअः संभवना मेनअः।
"For the Munda or human community, it is the protection of the world and the escape from many problems and in the life of the Munda, Soso Bonga is of great importance in Mundari songs.",उत्तर - मुण्डा या मानव समुह के लिए यह संसार की रक्षा सुरक्षा एवं अनेक समस्याओे से बचने के लिए और मुण्डाओं के जीवन में मुण्डारी गानों में सोसो बोंगा का बहुत महत्त्व है।,"उत्तर - मुण्डा च होड़ो गोट मेनते ने दिसुम बुगिनो, होरो जंजि, बलय ते बनचव ओड़ोः हटि कुटि सोंकोटो ते बनचव कन तइन लेकाते मुण्डा कोआ जिबोन रे ओड़ोः पुराः उतरङ दो मुण्डा दुरङ कोरे “सोसोबोंगा” रेआ इसु जरूडु मेना।"
"Here, the district administration and the local people together ran an interesting campaign.","यहाँ, जिला प्रशासन और स्थानीय लोगों ने मिलकर एक दिलचस्प मुहिम चलाई |",गुजरात रअः वडोदरा रेओ मोयोद उदाहरण पुरअः प्रेरक मेनअः।
About 24 tribal painters from different districts including Ranchi participated in it.,इसमें रांची सहित विभिन्न जिलो से लगभग 24 जनजातीय चित्रकारों ने हिस्सा लिया।,एना रे रांची लोः ते बिनगा - बिनगा जिला आते हला - जोला 24 जनजातीय चित्रकार को हिस्सा आउ लअः।
"But no Munda in the country listened to Uraon, there were no mercy keepers.","लेकिन देश में कोई भी मुंडा, उराँव की बात नहीं सुनते थे, दया करने वाले बचाने वाल कोई नहीं थे।",इमिन रेओ हुड़िङलेका हतु पटिको नाअः जकेंद् मुंडा पुरखाकोअः नेग-आईन लेकाते बइ सोता: अकन हतुको बनचव अकनगेआ।
I spoke of'Panch Pran'for the next 25 years of Amrit Kaal from the Red Fort last year.,मैंने पिछले साल लाल किले से अगले 25 वर्षों के अमृतकाल के लिए ‘पंच प्राण’ की बात की थी।,सिदा सिरमा लाल किला ते आयार 25 वर्ष रेआ: अमृतकाल रे 'पंच प्राण' रेआ:ञ जागार ला:।
olly do you have any local news,औल्ली क्या तुम्हारे पास कोई स्थानीय समाचार हैं,औल्ली  चि आमाः ताः जान स्थानीय समाचार मेनाः चि आमाः ताः जान स्थानीय समाचार मेनाः~।~
What is the time in Dubai?,दुबई में समय क्या है?,दुबई रे सोमाए चानाः मेनाः?
"If it was election day, I would have decided to give this land at that time.",अगर चुनाव के दिन होते और मैंने उस समय ये जमीन देने का निर्णय किया होता।,चुनाव रेअः दिन तइकेन रेदो ओड़ोः अइंञ एन सोमय ने ओते ओमा रेअः ऊड़ु केदा होनंङ।
This weakened the practice of slavery in Mysore.,इससे मैसूर में गुलामी की प्रथा कमजोर हो गई।,नेआते मैसूर रे गुलामी राः चलन कमजोर जाना।
This is a sign that you are no longer a child and are entering puberty.,यह इस बात का संकेत है कि अब आप बच्चे नहीं रह तथा युवावस्था में कदम रख रहे हैं।,नेआ नेआ कजि रअः चुंडुल तना चि नाअः अपे होन का तन पे च दंगड़ाओ रेअः चडाङ रे काटा पे जोगव जदा।
